,Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,SO%k,Trix_1
1827,2016-11-07,5.710000000000008,0.0,176.96,176.96000000000038,1.0,2612620.0,176.3166666666667,178.52333333333337,180.08666666666667,182.2933333333333,174.7533333333334,172.54666666666668,170.9833333333334,0.0,0.7559681697612753,0.7559681697612753,0.027821339373874786
1828,2016-11-08,2.9099999999999966,0.0,177.0,177.00000000000037,1.0,1892572.0,176.71,178.31,179.62,181.22,175.4,173.8,172.49,0.0,0.6494845360824703,0.6494845360824703,0.00022603978300176334
1829,2016-11-09,5.8400000000000025,0.0,173.42,173.4200000000004,0.0,-3250626.0,173.69299999999996,176.22599999999997,179.032,181.565,170.88699999999994,168.35399999999996,165.54799999999992,0.0,0.4233002434912865,0.4233002434912865,-0.020225988700565044
1830,2016-11-10,11.199900000000014,0.0,167.94,167.9400000000004,0.0,-5121963.0,168.58003333333332,173.85996666666665,179.77993333333333,185.05986666666664,162.6600666666666,157.38013333333333,151.46016666666662,0.0,0.4142804846471849,0.4142804846471849,-0.03159958482297307
1831,2016-11-11,4.270000000000009,0.0,167.54,167.5400000000004,0.0,-2979792.0,167.75666666666666,169.78333333333333,172.02666666666667,174.05333333333337,165.51333333333332,163.48666666666662,161.2433333333333,0.0,0.4238875878220136,0.4238875878220136,-0.0023818030248898754
1832,2016-11-14,4.75,0.0,163.78,163.7800000000004,0.0,-2819267.0,164.85666666666668,166.69333333333338,169.60666666666663,171.44333333333338,161.94333333333338,160.10666666666668,157.19333333333338,0.0,0.1599999999999981,0.1599999999999981,-0.02244240181449201
1833,2016-11-15,3.8899999999999855,0.0,166.45,166.4500000000004,1.0,2537964.0,165.85333333333332,168.09666666666664,169.74333333333334,171.98666666666665,164.20666666666662,161.96333333333334,160.31666666666666,0.0,0.7300771208226182,0.7300771208226182,0.016302356820124483
1834,2016-11-16,2.4199999999999875,0.0,167.83,167.83000000000038,1.0,1333323.0,167.25,168.75,169.66999999999996,171.17,166.33,164.83,163.91000000000003,0.0,0.8595041322314145,0.8595041322314145,0.008290778011414984
1835,2016-11-17,3.0,0.0,167.04,167.0400000000003,1.0,-1809965.0,167.36,168.70000000000005,170.36,171.70000000000005,165.70000000000005,164.36,162.70000000000005,0.0,0.3399999999999939,0.3399999999999939,-0.004707144133945186
1836,2016-11-18,2.4099999999999966,0.0,168.16,168.16000000000034,1.0,1952417.0,168.0233333333333,169.29666666666662,170.43333333333328,171.70666666666662,166.88666666666663,165.61333333333332,164.47666666666663,0.0,0.5850622406638998,0.5850622406638998,0.0067049808429119045
1837,2016-11-21,4.599999999999994,0.0,172.58,172.58000000000038,1.0,2138363.0,171.49,173.85000000000005,175.12,177.48000000000005,170.22000000000003,167.86,166.59000000000003,0.0,0.9504132231405018,0.9504132231405018,0.026284490960989632
1838,2016-11-22,4.839999999999974,0.0,177.02,177.02000000000038,1.0,3102357.0,175.91666666666663,178.5233333333333,180.02666666666664,182.63333333333333,174.41333333333333,171.80666666666667,170.30333333333334,0.0,0.9026763990267692,0.9026763990267692,0.025727198980183087
1839,2016-11-23,2.5198999999999785,0.0,177.08,177.08000000000038,1.0,2212311.0,176.69336666666663,178.1466333333333,179.2132666666666,180.6665333333333,175.62673333333333,174.17346666666668,173.10683333333336,0.0,0.7301480217469009,0.7301480217469009,0.00033894475200543594
1840,2016-11-25,1.510000000000019,0.0,176.75,176.75000000000037,0.0,-819822.0,176.4466666666667,177.32333333333335,177.89666666666668,178.7733333333334,175.87333333333336,174.99666666666667,174.42333333333335,0.0,0.813793103448271,0.813793103448271,-0.0018635644906257766
1841,2016-11-28,2.5300000000000007,0.0,174.65,174.65000000000038,0.0,-2657011.0,175.42,176.29999999999995,177.95000000000005,178.82999999999996,173.76999999999995,172.89,171.23999999999995,0.0,0.04347826086957059,0.04347826086957059,-0.011881188118811848
1842,2016-11-29,3.5499999999999825,0.0,175.45,175.45000000000041,0.0,1851362.0,175.28666666666663,177.14333333333323,178.83666666666664,180.69333333333324,173.59333333333328,171.73666666666662,170.04333333333332,0.0,0.5690140845070398,0.5690140845070398,0.004580589750930335
1843,2016-11-30,5.460000000000008,0.0,170.49,170.4900000000004,0.0,-3124889.0,172.27666666666667,174.11333333333337,177.73666666666668,179.57333333333335,168.65333333333334,166.81666666666666,163.19333333333333,0.0,0.009157509157511226,0.009157509157511226,-0.028270162439441318
1844,2016-12-01,9.28,0.0,162.79,162.7900000000004,0.0,-4638921.0,164.83,168.45000000000005,174.11000000000004,177.73000000000005,159.17000000000004,155.55,149.89,0.0,0.17025862068965344,0.17025862068965344,-0.04516393923397277
1845,2016-12-02,4.299999999999983,0.0,164.22,164.22000000000043,0.0,2694460.0,163.25333333333333,165.88666666666666,167.55333333333328,170.1866666666666,161.58666666666667,158.95333333333338,157.2866666666667,0.0,0.8372093023255834,0.8372093023255834,0.008784323361385876
1846,2016-12-05,4.210000000000008,0.0,166.13,166.13000000000048,1.0,2137190.0,165.04666666666662,167.69333333333333,169.25666666666663,171.9033333333333,163.48333333333332,160.83666666666662,159.27333333333328,0.0,0.8859857482185232,0.8859857482185232,0.011630739252222608
1847,2016-12-06,4.520000000000009,0.0,164.76,164.76000000000045,1.0,-3918437.0,165.39333333333332,167.33666666666662,169.91333333333338,171.85666666666665,162.81666666666663,160.8733333333333,158.29666666666662,0.0,0.28982300884955736,0.28982300884955736,-0.008246553903569522
1848,2016-12-07,4.880000000000023,0.0,168.55,168.55000000000047,1.0,3265865.0,166.92333333333337,170.17666666666668,171.80333333333337,175.05666666666673,165.29666666666668,162.04333333333332,160.41666666666666,0.0,1.0,1.0,0.02300315610585106
1849,2016-12-08,3.8700000000000045,0.0,170.71,170.71000000000043,1.0,3836144.0,169.86666666666667,172.22333333333336,173.73666666666668,176.09333333333336,168.35333333333338,165.99666666666667,164.48333333333338,0.0,0.8268733850129233,0.8268733850129233,0.012815188371403123
1850,2016-12-09,11.189999999999998,0.0,179.09,179.09000000000043,1.0,7574371.0,179.29666666666665,181.69333333333333,184.29666666666665,186.69333333333333,176.69333333333333,174.29666666666665,171.69333333333333,0.0,0.4379999999999996,0.4379999999999996,0.049089098471091296
1851,2016-12-12,4.210000000000008,0.0,178.16,178.16000000000042,0.0,-3719406.0,178.49666666666667,180.4333333333333,182.70666666666665,184.6433333333333,176.22333333333333,174.28666666666663,172.01333333333332,0.0,0.3800475059382402,0.3800475059382402,-0.005192919761014054
1852,2016-12-13,3.9399999999999977,0.0,179.44,179.44000000000042,1.0,6907596.0,179.79333333333332,181.58666666666664,183.7333333333333,185.52666666666664,177.64666666666665,175.85333333333332,173.70666666666665,0.0,0.3654822335025377,0.3654822335025377,0.0071845532105972235
1853,2016-12-14,3.2100000000000084,0.0,177.62,177.62000000000043,0.0,-4679547.0,177.68999999999997,179.14999999999995,180.68,182.14,176.1599999999999,174.69999999999996,173.16999999999993,0.0,0.4648829431438162,0.4648829431438162,-0.010142666072224662
1854,2016-12-15,4.6299999999999955,0.0,180.01,180.01000000000042,1.0,3810711.0,179.26,181.95,183.89,186.58,177.32,174.63,172.69,0.0,0.7429805615550759,0.7429805615550759,0.013455691926584766
1855,2016-12-16,3.6100000000000136,0.0,178.42,178.4200000000004,0.0,-4154101.0,178.99666666666667,180.5133333333333,182.60666666666668,184.12333333333336,176.90333333333336,175.38666666666663,173.29333333333332,0.0,0.26038781163434743,0.26038781163434743,-0.008832842619854472
1856,2016-12-19,3.289999999999992,0.0,180.46,180.46000000000046,1.0,2221941.0,179.99666666666667,181.8733333333333,183.28666666666663,185.16333333333333,178.58333333333337,176.70666666666668,175.29333333333335,0.0,0.7112462006079054,0.7112462006079054,0.011433695774016482
1857,2016-12-20,3.140000000000015,0.0,182.07,182.07000000000042,1.0,2735181.0,181.83,183.52000000000004,184.97000000000003,186.66000000000003,180.38,178.69,177.24,0.0,0.6146496815286617,0.6146496815286617,0.008921644685802865
1858,2016-12-21,2.2100000000000084,0.0,182.29,182.29000000000042,1.0,2101293.0,182.68666666666664,183.59333333333328,184.89666666666665,185.80333333333328,181.38333333333327,180.47666666666663,179.17333333333323,0.0,0.2307692307692258,0.2307692307692258,0.0012083264678420325
1859,2016-12-22,3.6200000000000045,0.0,180.6,180.60000000000042,0.0,-1756029.0,180.9933333333333,182.60666666666668,184.6133333333333,186.2266666666667,178.98666666666668,177.3733333333333,175.36666666666667,0.0,0.3370165745856346,0.3370165745856346,-0.009270941905754554
1860,2016-12-23,2.319999999999993,0.0,181.94,181.94000000000042,1.0,897680.0,181.19333333333333,182.7266666666666,183.5133333333333,185.0466666666666,180.4066666666666,178.8733333333333,178.08666666666664,0.0,0.9827586206896586,0.9827586206896586,0.007419712070874882
1861,2016-12-27,1.7599999999999911,0.0,182.31,182.31000000000046,1.0,828356.0,182.68666666666664,183.32333333333332,184.33666666666664,184.97333333333324,181.6733333333333,181.03666666666663,180.0233333333333,0.0,0.15757575757575426,0.15757575757575426,0.002033637462899882
1862,2016-12-28,3.1599999999999966,0.0,180.19,180.19000000000042,0.0,-1403886.0,181.01,182.18,184.17,185.34,179.01999999999995,177.85,175.86,0.0,0.1107594936708844,0.1107594936708844,-0.01162854478635294
1863,2016-12-29,2.039999999999992,0.0,179.87,179.87000000000046,0.0,-1367100.0,179.72333333333333,180.81666666666663,181.76333333333332,182.85666666666665,178.77666666666667,177.68333333333337,176.73666666666668,0.0,0.6078431372549088,0.6078431372549088,-0.0017759032132748387
1864,2016-12-30,4.8799999999999955,0.0,176.77,176.7700000000004,0.0,-2542386.0,177.89666666666668,179.77333333333337,182.77666666666667,184.6533333333333,174.89333333333335,173.01666666666668,170.01333333333338,0.0,0.15368852459016408,0.15368852459016408,-0.01723466948351584
1865,2017-01-03,4.360000000000014,0.0,178.34,178.34000000000046,1.0,3209813.0,178.59333333333333,180.64666666666668,182.9533333333333,185.0066666666667,176.28666666666663,174.23333333333332,171.92666666666665,0.0,0.41284403669724895,0.41284403669724895,0.008881597556146367
1866,2017-01-04,2.319999999999993,0.0,177.07,177.07000000000042,0.0,-2396470.0,177.58333333333337,178.48666666666668,179.90333333333336,180.80666666666667,176.16666666666669,175.26333333333335,173.8466666666667,0.0,0.1681034482758567,0.1681034482758567,-0.007121229112930416
1867,2017-01-05,3.1899999999999977,0.0,174.28,174.28000000000043,0.0,-2486093.0,175.0533333333333,176.22666666666663,178.17333333333332,179.34666666666664,173.10666666666665,171.9333333333333,169.98666666666662,0.0,0.12820512820512986,0.12820512820512986,-0.015756480487942582
1868,2017-01-06,3.5900000000000034,0.0,176.59,176.59000000000046,1.0,2314304.0,175.60000000000005,177.89000000000004,179.19,181.48000000000005,174.30000000000004,172.01000000000005,170.71000000000004,0.0,0.9136490250696372,0.9136490250696372,0.013254532935506096
1869,2017-01-09,1.710000000000008,0.0,176.97,176.97000000000043,1.0,2026589.0,177.3033333333333,177.96666666666664,178.96333333333337,179.6266666666667,176.30666666666664,175.64333333333332,174.6466666666666,0.0,0.1987951807228961,0.1987951807228961,0.0021518772297411826
1870,2017-01-10,3.8400000000000034,0.0,180.57,180.57000000000042,1.0,3018327.0,179.40333333333336,181.90666666666667,183.2433333333333,185.74666666666667,178.06666666666663,175.56333333333333,174.22666666666663,0.0,0.9557291666666624,0.9557291666666624,0.02034243092049497
1871,2017-01-11,2.8100000000000023,0.0,179.42,179.4200000000004,0.0,-1878705.0,179.21666666666667,180.6733333333333,181.92666666666668,183.38333333333333,177.96333333333337,176.50666666666663,175.25333333333333,0.0,0.6125461254612515,0.6125461254612515,-0.006368721271529079
1872,2017-01-12,4.019999999999982,0.0,178.86,178.8600000000004,0.0,-2313737.0,177.78666666666663,180.17333333333332,181.48666666666665,183.8733333333333,176.47333333333333,174.08666666666667,172.77333333333337,0.0,0.93513513513514,0.93513513513514,-0.003121168208672243
1873,2017-01-13,2.3900000000000152,0.0,180.45,180.45000000000041,1.0,2090697.0,179.8733333333333,181.35666666666665,182.26333333333332,183.74666666666664,178.9666666666666,177.48333333333332,176.5766666666666,0.0,0.8619246861924642,0.8619246861924642,0.008889634350888824
1874,2017-01-17,2.8899999999999864,0.0,179.11,179.1100000000004,0.0,-2631606.0,178.76666666666665,179.97333333333333,180.83666666666664,182.0433333333333,177.9033333333333,176.69666666666663,175.83333333333331,0.0,0.7487922705314091,0.7487922705314091,-0.007425879745081601
1875,2017-01-18,5.959999999999981,0.0,185.02,185.0200000000004,1.0,3564175.0,183.3633333333333,186.7266666666667,188.4333333333333,191.79666666666668,181.65666666666667,178.29333333333335,176.58666666666667,0.0,0.9901380670611474,0.9901380670611474,0.032996482608452886
1876,2017-01-19,2.1999999999999886,0.0,185.56,185.56000000000043,1.0,4571813.0,185.70666666666668,186.7333333333333,187.90666666666667,188.9333333333333,184.53333333333336,183.5066666666667,182.33333333333337,0.0,0.4,0.4,0.0029186033942276077
1877,2017-01-20,5.974999999999994,0.0,191.08,191.0800000000004,1.0,5762335.0,190.2383333333333,192.3766666666667,193.67333333333332,195.81166666666667,188.9416666666667,186.8033333333333,185.5066666666667,0.0,0.8675400291120863,0.8675400291120863,0.029747790472084555
1878,2017-01-23,3.1100000000000136,0.0,191.0,191.00000000000043,1.0,-3339436.0,190.3166666666667,192.2133333333334,193.42666666666668,195.3233333333334,189.10333333333332,187.20666666666668,185.99333333333337,0.0,0.8295819935691322,0.8295819935691322,-0.0004186728072012377
1879,2017-01-24,8.639999999999986,0.0,197.75,197.75000000000043,1.0,6200772.0,196.55666666666664,200.8333333333333,203.9166666666666,208.19333333333327,193.47333333333333,189.19666666666663,186.11333333333332,0.0,0.7432065217391318,0.7432065217391318,0.035340314136125664
1880,2017-01-25,4.840000000000003,0.0,202.48,202.48000000000042,1.0,6090259.0,201.03333333333333,204.03666666666663,205.59333333333333,208.59666666666664,199.47666666666663,196.47333333333333,194.91666666666663,0.0,0.9758771929824532,0.9758771929824532,0.023919089759797674
1881,2017-01-26,4.140000000000015,0.0,204.17,204.1700000000004,1.0,3882680.0,203.5233333333333,205.91666666666663,207.66333333333333,210.05666666666664,201.7766666666666,199.38333333333333,197.6366666666666,0.0,0.7342995169082079,0.7342995169082079,0.00834650335835637
1882,2017-01-27,2.25,0.0,205.71,205.71000000000046,1.0,2578653.0,205.01333333333332,206.48666666666665,207.2633333333333,208.73666666666665,204.23666666666665,202.76333333333332,201.98666666666665,0.0,0.9644444444444517,0.9644444444444517,0.007542733996179754
1883,2017-01-30,5.099999999999994,0.0,203.22,203.22000000000043,0.0,-3323406.0,202.9,205.19,207.16,209.45,200.93,198.64,196.67,0.0,0.612676056338026,0.612676056338026,-0.012104418842059251
1884,2017-01-31,4.359999999999985,0.0,199.5,199.50000000000043,0.0,-2674941.0,200.27666666666667,201.69333333333333,203.88666666666663,205.3033333333333,198.0833333333333,196.66666666666669,194.47333333333336,0.0,0.17728531855955373,0.17728531855955373,-0.01830528491290227
1885,2017-02-01,4.979999999999991,0.0,203.69,203.6900000000005,1.0,3118392.0,202.79333333333332,205.37666666666664,207.06333333333333,209.64666666666665,201.10666666666665,198.5233333333333,196.83666666666667,0.0,0.8149882903981276,0.8149882903981276,0.021002506265664148
1886,2017-02-02,4.030000000000001,0.0,204.05,204.05000000000047,1.0,2271170.0,203.36,205.72,207.39,209.75,201.69,199.33,197.66,0.0,0.756823821339953,0.756823821339953,0.0017673916245275353
1887,2017-02-03,3.5699999999999936,0.0,206.16,206.16000000000042,1.0,2437317.0,205.26333333333332,207.49666666666664,208.8333333333333,211.06666666666663,203.92666666666665,201.69333333333333,200.35666666666665,0.0,0.8767507002801125,0.8767507002801125,0.010340602793432907
1888,2017-02-06,2.3599999999999848,0.0,206.56,206.56000000000046,1.0,1871607.0,205.84,207.38,208.2,209.74,205.02,203.48,202.66000000000003,0.0,0.9576271186440699,0.9576271186440699,0.0019402405898331669
1889,2017-02-07,2.47,0.0,205.91,205.91000000000042,1.0,-2284021.0,206.08,207.23,208.55,209.7,204.76,203.61,202.29,0.0,0.3967611336032349,0.3967611336032349,-0.0031467854376452642
1890,2017-02-08,3.5900000000000034,0.0,206.89,206.89000000000047,1.0,2106897.0,206.9333333333333,208.70666666666665,210.52333333333328,212.29666666666665,205.11666666666665,203.34333333333333,201.5266666666666,0.0,0.48189415041782396,0.48189415041782396,0.004759360885823854
1891,2017-02-09,4.060000000000001,0.0,205.34,205.3400000000005,0.0,-2751924.0,205.5533333333333,207.47666666666663,209.6133333333333,211.53666666666663,203.41666666666663,201.4933333333333,199.35666666666665,0.0,0.4211822660098539,0.4211822660098539,-0.007491903910290409
1892,2017-02-10,2.6500000000000057,0.0,205.52,205.52000000000046,0.0,2384206.0,205.29,206.73,207.94,209.38,204.08,202.64,201.43,0.0,0.6301886792452877,0.6301886792452877,0.0008765949157495219
1893,2017-02-13,1.940000000000026,0.0,206.71,206.71000000000046,1.0,1246341.0,206.33,207.49000000000004,208.27000000000007,209.43000000000006,205.55,204.39,203.61,0.0,0.7938144329896906,0.7938144329896906,0.005790190735694811
1894,2017-02-14,2.1999999999999886,0.0,205.33,205.33000000000047,0.0,-1735780.0,205.71,206.62,207.91000000000003,208.82,204.42,203.51,202.22000000000003,0.0,0.2409090909090927,0.2409090909090927,-0.006676019544289078
1895,2017-02-15,2.134999999999991,0.0,205.99,205.9900000000005,1.0,1708766.0,205.90833333333333,207.01666666666665,208.0433333333333,209.15166666666664,204.88166666666663,203.7733333333333,202.74666666666667,0.0,0.5573770491803292,0.5573770491803292,0.0032143378950956827
1896,2017-02-16,3.0449999999999875,0.0,208.18,208.18000000000046,1.0,1718799.0,207.1916666666667,209.20833333333337,210.23666666666668,212.25333333333336,206.16333333333336,204.14666666666668,203.1183333333334,0.0,0.9868637110016446,0.9868637110016446,0.010631584057478508
1897,2017-02-17,3.5899,0.0,210.41,210.41000000000042,1.0,3094524.0,209.21336666666664,211.6066333333333,212.80326666666664,215.1965333333333,208.0167333333333,205.62346666666664,204.4268333333333,0.0,1.0,1.0,0.010711883946584635
1898,2017-02-21,3.2100000000000084,0.0,212.75,212.75000000000043,1.0,3033314.0,212.42666666666665,213.94333333333333,215.13666666666663,216.6533333333333,211.2333333333333,209.71666666666664,208.52333333333328,0.0,0.6789667896678959,0.6789667896678959,0.01112114443229886
1899,2017-02-22,3.4300000000000064,0.0,214.16,214.16000000000042,1.0,2394863.0,213.53,215.56,216.96000000000004,218.99,212.13,210.1,208.7,0.0,0.7755102040816301,0.7755102040816301,0.006627497062279655
1900,2017-02-23,6.315000000000026,0.0,210.58,210.58000000000047,0.0,-2936386.0,212.05833333333337,214.47666666666674,218.3733333333334,220.7916666666668,208.16166666666672,205.7433333333333,201.8466666666667,0.0,0.14885193982581507,0.14885193982581507,-0.016716473664549796
1901,2017-02-24,8.034999999999998,0.0,210.37,210.3700000000005,0.0,-2765081.0,207.875,213.14,215.91,221.175,205.105,199.84,197.07,0.0,0.9657747355320466,0.9657747355320466,-0.0009972457023459396
1902,2017-02-27,3.259999999999991,0.0,213.28,213.28000000000046,1.0,2699102.0,212.30666666666664,214.4233333333333,215.56666666666663,217.68333333333328,211.16333333333333,209.04666666666665,207.9033333333333,0.0,0.9478527607362,0.9478527607362,0.013832770832342998
1903,2017-02-28,4.039999999999992,0.0,210.93,210.9300000000005,0.0,-2754779.0,211.85666666666665,213.41333333333333,215.89666666666665,217.4533333333333,209.3733333333333,207.81666666666663,205.33333333333331,0.0,0.15594059405940516,0.15594059405940516,-0.011018379594898698
1904,2017-03-01,4.829999999999983,0.0,215.14,215.1400000000005,1.0,5115465.0,213.69666666666663,216.83333333333331,218.52666666666656,221.66333333333324,212.00333333333327,208.86666666666665,207.1733333333333,0.0,0.9482401656314698,0.9482401656314698,0.01995922817996482
1905,2017-03-02,9.840000000000003,0.0,217.29,217.29000000000053,1.0,7117112.0,219.43,222.84,228.39,231.79999999999995,213.88,210.47,204.92,0.0,0.14174107142856973,0.14174107142856973,0.009993492609463632
1906,2017-03-03,2.7100000000000084,0.0,218.32,218.32000000000053,0.0,3077077.0,218.67333333333332,219.64666666666665,220.97333333333333,221.94666666666663,217.34666666666664,216.3733333333333,215.04666666666665,0.0,0.269565217391305,0.269565217391305,0.004740208937364818
1907,2017-03-06,3.3600000000000136,0.0,217.94,217.94000000000057,0.0,-2277121.0,217.2133333333333,219.2566666666667,220.5733333333333,222.61666666666667,215.89666666666668,213.85333333333332,212.53666666666663,0.0,0.8244047619047616,0.8244047619047616,-0.0017405643092707744
1908,2017-03-07,4.280000000000001,0.0,219.25,219.25000000000057,1.0,2912919.0,219.23666666666668,221.38333333333333,223.51666666666668,225.66333333333336,217.1033333333333,214.95666666666668,212.8233333333333,0.0,0.5046728971962607,0.5046728971962607,0.0060108286684408645
1909,2017-03-08,2.6899999999999977,0.0,219.63,219.63000000000056,1.0,2454365.0,219.80666666666667,221.0633333333334,222.49666666666675,223.7533333333334,218.3733333333334,217.11666666666667,215.6833333333334,0.0,0.4014869888475781,0.4014869888475781,0.0017331812998859545
1910,2017-03-09,4.740000000000009,0.0,222.01,222.01000000000056,1.0,2567522.0,220.99666666666667,223.8733333333333,225.73666666666668,228.6133333333333,219.13333333333333,216.25666666666663,214.39333333333332,0.0,0.8206751054852276,0.8206751054852276,0.010836406683968472
1911,2017-03-10,4.400000000000006,0.0,226.35,226.35000000000062,1.0,3943043.0,225.16333333333333,227.59666666666664,228.84333333333333,231.27666666666667,223.91666666666663,221.48333333333332,220.23666666666665,0.0,0.9836956521739124,0.9836956521739124,0.01954866897887484
1912,2017-03-13,2.3899999999999864,0.0,226.45,226.45000000000059,1.0,2666904.0,226.52,227.67999999999995,228.91,230.07,225.29,224.13,222.9,0.0,0.4560669456066867,0.4560669456066867,0.0004417936823503173
1913,2017-03-14,2.9399999999999977,0.0,224.35,224.35000000000062,0.0,-2216720.0,224.7133333333333,225.91666666666669,227.4833333333333,228.68666666666667,223.14666666666668,221.94333333333333,220.3766666666667,0.0,0.3032490974729243,0.3032490974729243,-0.009273570324574936
1914,2017-03-15,3.4099999999999966,0.0,225.93,225.9300000000006,1.0,2072680.0,225.2733333333333,227.30666666666664,228.68333333333328,230.7166666666666,223.89666666666665,221.86333333333332,220.48666666666665,0.0,0.7888563049853373,0.7888563049853373,0.00704256741698245
1915,2017-03-16,4.360000000000014,0.0,222.36,222.3600000000006,0.0,-2783456.0,223.25,224.93,227.5,229.18,220.68,219.0,216.43,0.0,0.18588235294118127,0.18588235294118127,-0.015801354401805842
1916,2017-03-17,2.8600000000000136,0.0,221.18,221.1800000000006,0.0,-5163480.0,221.91333333333333,222.97666666666663,224.7733333333333,225.83666666666667,220.11666666666665,219.0533333333333,217.25666666666663,0.0,0.1153846153846192,0.1153846153846192,-0.005306709839899293
1917,2017-03-20,1.8599999999999848,0.0,221.24,221.2400000000006,0.0,1721474.0,221.5533333333333,222.32666666666665,223.41333333333327,224.1866666666666,220.46666666666664,219.69333333333333,218.60666666666665,0.0,0.2473118279569955,0.2473118279569955,0.0002712722669319209
1918,2017-03-21,7.4599999999999795,0.0,216.02,216.0200000000006,0.0,-3055726.0,218.17333333333332,220.82666666666665,225.63333333333333,228.2866666666666,213.36666666666665,210.7133333333333,205.90666666666667,0.0,0.06702412868632726,0.06702412868632726,-0.023594286747423605
