,Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,SO%k,Trix_1
798,2017-01-20,1.9599999999999933,0.0,65.16,65.15999999999967,0.0,-1013005.0,65.44000000000001,66.26000000000002,67.36000000000001,68.18000000000002,64.34000000000002,63.52000000000001,62.420000000000016,0.0,0.2812499999999956,0.2812499999999956,-0.02132772604385704
799,2017-01-23,1.0300000000000011,0.0,65.07,65.06999999999968,0.0,-829809.0,65.2,65.65,66.23000000000002,66.68,64.62,64.17,63.59,0.0,0.3106796116504785,0.3106796116504785,-0.0013812154696133119
800,2017-01-24,1.8000000000000114,0.0,66.42,66.41999999999967,1.0,759637.0,66.2,67.09,67.75999999999999,68.65,65.53,64.64,63.97,0.0,0.7115384615384601,0.7115384615384601,0.020746887966805117
801,2017-01-25,2.480000000000004,0.0,66.6,66.59999999999968,1.0,835992.0,67.06666666666668,68.07333333333335,69.54666666666668,70.55333333333336,65.59333333333335,64.58666666666667,63.11333333333334,0.0,0.21774193548386744,0.21774193548386744,0.0027100271002708913
802,2017-01-26,1.2999999999999972,0.0,65.95,65.94999999999968,0.0,-808521.0,66.18333333333334,66.71666666666667,67.48333333333332,68.01666666666667,65.41666666666667,64.88333333333334,64.11666666666667,0.0,0.2307692307692291,0.2307692307692291,-0.009759759759759632
803,2017-01-27,0.6599999999999966,0.0,66.52,66.51999999999967,1.0,450705.0,66.36666666666666,66.76333333333332,67.00666666666666,67.40333333333332,66.12333333333332,65.72666666666666,65.48333333333332,0.0,0.8593749999999948,0.8593749999999948,0.00864291129643659
804,2017-01-30,1.7000000000000028,0.0,65.84,65.83999999999968,0.0,-709294.0,65.57333333333334,66.32666666666668,66.81333333333333,67.56666666666669,65.08666666666667,64.33333333333333,63.84666666666666,0.0,0.8225806451612926,0.8225806451612926,-0.010222489476848956
805,2017-01-31,1.1000000000000083,0.0,65.67,65.66999999999967,0.0,-594367.0,65.38333333333333,66.02666666666666,66.38333333333334,67.02666666666666,65.02666666666666,64.38333333333333,64.02666666666666,0.0,0.9300000000000068,0.9300000000000068,-0.002582017010935627
806,2017-02-01,1.7299999999999898,0.0,65.94,65.93999999999967,1.0,685355.0,66.13666666666667,66.90333333333334,67.86666666666667,68.63333333333333,65.17333333333335,64.40666666666668,63.44333333333336,0.0,0.3294797687861252,0.3294797687861252,0.004111466423024152
807,2017-02-02,0.8799999999999955,0.0,65.62,65.61999999999966,0.0,-992119.0,65.47666666666667,65.89333333333335,66.16666666666669,66.58333333333334,65.20333333333335,64.78666666666668,64.51333333333335,0.0,0.8115942028985567,0.8115942028985567,-0.004852896572641693
808,2017-02-03,1.7699999999999958,0.0,67.33,67.32999999999964,1.0,950461.0,66.97339999999998,67.74659999999997,68.16319999999999,68.93639999999998,66.55679999999997,65.78359999999998,65.36699999999996,0.0,0.9495713565305076,0.9495713565305076,0.02605912831453816
809,2017-02-06,0.7900000000000063,0.0,67.34,67.33999999999965,1.0,626628.0,67.07666666666667,67.60333333333334,67.86666666666669,68.39333333333335,66.81333333333333,66.28666666666666,66.02333333333333,0.0,1.0,1.0,0.0001485222040695844
810,2017-02-07,0.9399999999999976,0.0,67.02,67.01999999999964,1.0,-873005.0,67.19333333333333,67.57666666666665,68.13333333333333,68.51666666666665,66.63666666666666,66.25333333333333,65.69666666666666,0.0,0.2234042553191428,0.2234042553191428,-0.004752004752004862
811,2017-02-08,1.0799999999999983,0.0,67.6,67.59999999999964,1.0,922713.0,67.37333333333332,68.02666666666664,68.45333333333332,69.10666666666664,66.94666666666664,66.29333333333332,65.86666666666665,0.0,0.8148148148148119,0.8148148148148119,0.008654133094598603
812,2017-02-09,4.980000000000004,0.0,71.73,71.72999999999966,1.0,2487128.0,70.25,73.48,75.23,78.46000000000002,68.5,65.27,63.52,0.0,0.9457831325301214,0.9457831325301214,0.06109467455621316
813,2017-02-10,0.8599999999999994,0.0,71.92,71.91999999999963,1.0,1099345.0,71.92666666666669,72.35333333333334,72.78666666666669,73.21333333333334,71.49333333333334,71.06666666666669,70.63333333333334,0.0,0.4883720930232581,0.4883720930232581,0.002648821971281161
814,2017-02-13,1.291000000000011,0.0,71.45,71.44999999999963,0.0,-562113.0,71.707,72.22399999999998,72.99799999999998,73.515,70.93299999999998,70.41599999999998,69.64199999999997,0.0,0.20139426800929736,0.20139426800929736,-0.006535038932146814
815,2017-02-14,0.6900000000000119,0.0,71.08,71.07999999999963,0.0,-695507.0,71.15666666666667,71.46333333333331,71.84666666666666,72.15333333333331,70.7733333333333,70.46666666666664,70.08333333333329,0.0,0.3333333333333333,0.3333333333333333,-0.005178446466060246
816,2017-02-15,1.1499999999999917,0.0,71.83,71.82999999999963,1.0,1138203.0,71.55333333333333,72.26666666666667,72.7033333333333,73.41666666666664,71.11666666666666,70.40333333333334,69.96666666666667,0.0,0.8608695652173932,0.8608695652173932,0.010551491277433878
817,2017-02-16,1.2800000000000011,0.0,72.93,72.92999999999965,1.0,1067254.0,72.64666666666666,73.39333333333332,73.85666666666665,74.60333333333331,72.18333333333331,71.43666666666667,70.97333333333333,0.0,0.851239669421493,0.851239669421493,0.01531393568147026
818,2017-02-17,1.2000000000000028,0.0,73.27,73.26999999999964,1.0,865000.0,73.14333333333333,73.80666666666666,74.3433333333333,75.00666666666666,72.60666666666665,71.94333333333333,71.40666666666667,0.0,0.6583333333333251,0.6583333333333251,0.004662004662004514
819,2017-02-21,1.4899999999999949,0.0,74.51,74.50999999999964,1.0,1120417.0,74.12,75.06,75.61000000000001,76.55,73.57000000000002,72.63000000000002,72.08000000000001,0.0,0.8926174496644315,0.8926174496644315,0.016923706837723613
