,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,buy,sell
12,12,2015-01-21,67.61,70.8,67.57,68.84,1451616,QRVO,-0.0,,,0.1206982833000248,0.8150740015574677,,,,112702.76298751426,67.11003048298029,,177945.84000000003,,66.31799999999998,,,,,,0.8800000000000097,,342638.4,,69.07000000000001,70.57000000000002,72.30000000000003,73.80000000000003,67.34000000000002,65.84,64.11000000000001,0.06579965938999845,,0.8571302458414244,0.7028393573640991,2.0011171879727607,,0.5944335662800447,,0.3931888544891668,0.001916096748021016,,,0,0
13,13,2015-01-22,69.54,70.68,67.03,70.61,1332703,QRVO,0.0,,2.9482626313683604,0.14572630703562492,0.8138296950567843,,,,430214.5920224863,68.28069709236277,,626629.6000000014,,67.52199999999998,,,,,0.42857142857142855,1.7699999999999958,,805319.4,,69.44,71.85,73.09,75.5,68.19999999999999,65.78999999999999,64.54999999999998,0.09659885075322253,,0.7556491118628254,0.6534601489135128,2.459932925914865,,0.7236723894151511,,0.9808219178082171,0.004758116461460254,,,0,0
14,14,2015-01-23,70.72,74.34,70.57,73.37,1677595,QRVO,0.0,,3.0723299812970497,0.16440041601801994,0.8555662248811675,,,,374534.5910788479,69.98101433843301,,1023684.8700000001,,69.31799999999998,,,,,0.5,2.7600000000000047,,1390208.2,,72.76,74.95000000000002,76.53000000000003,78.72000000000003,71.18,68.99,67.41,0.1148761586385048,,0.8849274259975449,0.7782519132749715,2.848977009384276,,0.7300313046299517,,0.7427055702917782,0.008297360157481438,,,0,0
15,15,2015-01-26,72.4,74.0,72.3,73.15,1571826,QRVO,0.0,,2.868726473042193,0.1386175258648776,0.7409250498073822,,,,64062.67030888319,71.0389535400199,,607372.4200000014,,70.78599999999997,,,,,0.5714285714285714,-0.21999999999999886,,797265.4,,73.15,74.00000000000001,74.85000000000002,75.70000000000002,72.30000000000003,71.45,70.60000000000002,0.07636845203060642,,0.8849274259975449,0.7782519132749716,2.453045046467805,,0.6532372888943738,,0.5000000000000042,0.010577595882558657,,,0,0
16,16,2015-01-27,73.0,73.88,71.5,73.75,1246687,QRVO,0.0,,2.7972910413769196,0.11847867959814032,0.7118765828874597,,,,278164.3187920012,71.94355382575327,,-163745.03999999806,,71.94399999999997,,,,,0.5714285714285714,0.5999999999999943,,827355.0,,73.04333333333334,74.58666666666667,75.42333333333335,76.96666666666667,72.20666666666669,70.66333333333334,69.82666666666668,0.07132481115630443,,0.7214115816281124,0.7011677905427198,2.130957531252152,,0.7507165137884884,,0.945378151260506,0.011788744869332112,,,0,0
17,17,2015-01-28,75.0,78.05,74.22,75.5,3063005,QRVO,-0.0,,3.014153699023709,0.09573613086375717,0.8170276615359054,,,,-326107.63091004826,73.12983857093407,,3504270.649999992,,73.27599999999998,,,,,0.5714285714285714,1.75,,1149632.8,,75.92333333333333,77.62666666666667,79.75333333333333,81.45666666666666,73.79666666666667,72.09333333333333,69.96666666666667,0.06925364679223908,,0.8813721516667543,0.8144080097487513,1.7537901812931669,,0.6117848876859387,,0.3342036553524809,0.012853420110954264,,,0,0
18,18,2015-01-29,72.7,75.88,72.2,75.76,2636706,QRVO,0.0,,3.109201229203346,0.06626584171112099,0.7952914038569852,,,,550667.9412559285,74.0069547082301,70.49502990399637,2793938.190000007,,74.30599999999997,,,,,0.5,0.2600000000000051,,1410433.4,,74.61333333333333,77.02666666666666,78.29333333333334,80.70666666666666,73.34666666666666,70.93333333333334,69.66666666666667,0.03257462178001909,,0.6343556168078559,0.6692261982077697,1.2309874085466386,,0.7303738545581843,0.6396619039195223,0.9673913043478286,0.013203324515735032,,,0,0
19,19,2015-01-30,74.64,75.26,73.31,73.87,1623369,QRVO,-0.0,,3.0159798136548734,0.0620290161283755,0.3838653169157508,0.2246229973490781,0.8063181971990734,,-135771.85813156742,73.9612894059549,70.86666741290422,2346606.6799999936,,74.40599999999998,69.11449999999999,,,,0.5,-1.8900000000000008,,750240.6,70151.0,74.14666666666666,74.9833333333333,76.09666666666666,76.93333333333331,73.03333333333332,72.19666666666666,71.08333333333331,0.009842788790157195,0.04928977272727271,0.634355616807856,0.6692261982077697,1.1538327435119766,3.8811765375707137,0.5825979583180553,0.6008480230361931,0.28717948717948794,0.011724981743595202,,,0,0
20,20,2015-02-02,73.08,74.0,66.88,68.72,3348309,QRVO,-0.0,,3.591699588529576,0.15425453785396187,0.07674919767031436,0.22425185187319865,0.4799421422349133,,-695872.5228744395,72.21384259907907,70.63375069274451,-5009685.120000005,,73.51999999999998,69.03049999999999,,,,0.5,-5.150000000000006,,394944.0,-97264.45,69.86666666666666,72.85333333333331,76.9866666666667,79.97333333333333,65.73333333333332,62.74666666666666,58.61333333333332,-0.06820338983050847,0.016117107792399873,0.2307950018295919,0.3733358465074868,2.8351984057558184,3.8700543651832087,0.4745192927412458,0.5636948110523461,0.25842696629213513,0.0069845919114176576,,,0,0
21,21,2015-02-03,68.74,70.0,67.05,68.52,2551794,QRVO,-0.0,,3.5023019331584933,0.19828893950468784,0.22485859968903246,0.22342102294811653,0.4640376508148547,,-352449.76697803,70.9823971411895,70.40740757682808,-4967073.7500000065,,72.47399999999998,69.075,,,,0.5,-0.20000000000000284,,-364752.2,1885.15,68.52333333333333,69.99666666666666,71.47333333333331,72.94666666666666,67.04666666666665,65.57333333333332,64.09666666666665,-0.09245033112582787,0.05953301376217712,0.2307950018295919,0.3733358465074868,3.5926981504156856,3.858201790035288,0.4824489499317199,0.5566927958894615,0.4983050847457618,0.0022230298179640898,,,0,0
