Date,ATR_1,ATR_5,ATR_21,BollingerB_5,Bollinger%b_5,BollingerB_21,Bollinger%b_21,Copp_1,Copp_5,Copp_21,Chaikin,EMA_1,EMA_5,EMA_21,Force_1,Force_5,Force_21,KST_10_10_10_15_10_15_20_30,MA_1,MA_5,MA_21,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_1,MFI_5,MFI_21,Momentum_1,Momentum_5,Momentum_21,Mass Index,OBV_1,OBV_5,OBV_21,PP,R1,R2,R3,S1,S2,S3,ROC_1,ROC_5,ROC_21,RSI_5,RSI_21,STD_5,STD_21,SO%d_1,SO%d_5,SO%d_21,SO%k,Trix_1,Trix_5,TSI_25_13
2012-03-07,0.6499999999999986,0.8574352351290863,0.8474039834085829,0.09620793030717813,0.31109915983822123,0.06406803591833808,0.005194944769387193,0.0,-0.05124857869210705,0.002550046943887412,-98726.6474649016,31.01,31.376141039019327,31.91643302288436,-100845.00000000118,-26774.99999999993,-261125.99999999965,-0.898986488191772,31.010000000000016,31.58400000000012,32.02523809523808,-0.16067853518897834,0.020285717043726118,-0.1809642522327045,1.0,0.6,0.3809523809523809,0.2700000000000031,-0.8499999999999979,-1.7799999999999976,26.36952773986832,539000.0,-186720.0,-121423.80952380953,31.04000000000001,31.350000000000005,31.69,32.0,30.70000000000001,30.390000000000004,30.050000000000008,0.0,-0.043786617329632994,-0.04643296432964334,0.12467374667178364,0.3536131025390209,0.7596578177054814,0.5129485261447606,0.4307692307692335,0.4612826924532896,0.5060273963604961,0.4307692307692335,0.008783344176968222,-0.0036525164089329007,-0.0612734139973935
2012-03-08,0.4899999999999984,0.7349568234193903,0.8149127121896207,0.07602575084295222,0.468955973340295,0.06561806547685407,0.1728624622502547,0.0,-0.050860159346739264,-0.005762710275861319,-16542.57324125022,31.28,31.344094026012893,31.858575475349426,5318.999999999992,-27484.999999999967,-136772.00000000026,-1.4039042804850868,31.28000000000002,31.35400000000012,31.966190476190466,-0.18716667819139232,-0.021204762003297583,-0.16596191618809475,1.0,0.6,0.42857142857142855,0.2699999999999996,-1.1499999999999986,-1.240000000000002,26.21067894784957,558700.0,-181940.0,-73466.66666666669,31.243333333333336,31.50666666666667,31.73333333333333,31.99666666666667,31.01666666666668,30.75333333333333,30.526666666666674,0.0,-0.031878675332714365,-0.026757934038581187,0.21856851280271086,0.3715817230932985,0.5959278479824832,0.5243898949280636,0.6122448979591871,0.511603427621922,0.515683532869468,0.6122448979591871,0.008706868752015465,-0.003857356834230569,-0.07106128107466626
2012-03-09,0.7400000000000021,0.7366378822795943,0.8081024656269279,0.04038377613660346,0.7445122198836466,0.0666740763519373,0.2953705405118285,0.0,-0.04272343266252753,-0.011238465849930072,22109.309867610966,31.5,31.396062684008587,31.82597770486311,549.9999999999972,48843.00000000014,-60160.00000000005,-1.6562341228762705,31.50000000000001,31.192000000000114,31.93571428571427,-0.18823668563554816,-0.05461114672974771,-0.13362553890580048,1.0,0.6,0.4761904761904762,0.21999999999999886,-0.8100000000000023,-0.6400000000000006,26.008353479764523,561200.0,54600.0,-24495.23809523809,31.44,31.84,32.18,32.58,31.099999999999994,30.7,30.35999999999999,0.0,0.002227171492204909,-0.026576019777503068,0.4972193816182379,0.4314632175074739,0.3149126863132349,0.5323210631598421,0.6216216216216212,0.5482761589551551,0.5253142682105728,0.6216216216216212,0.007033248081841395,-0.0033462297958176076,-0.07165725045787165
2012-03-12,0.5899999999999999,0.6877585881863961,0.7882749687517526,0.03672698382937534,0.5262311531290922,0.0687604739036373,0.17653208934315232,0.0,-0.03558059016939718,-0.016948195423593077,-136801.24273810585,31.17,31.32070845600573,31.76634336805737,35936.99999999981,5485.999999999958,166480.99999999968,-2.1053795974635747,31.170000000000016,31.14000000000011,31.879047619047604,-0.2132546494663252,-0.08633984727706323,-0.126914802189262,0.0,0.6,0.4761904761904762,-0.3299999999999983,-0.259999999999998,-1.1899999999999975,25.83202510542781,-452300.0,58820.0,-74233.33333333331,31.34666666666667,31.55333333333333,31.93666666666667,32.14333333333333,30.96333333333333,30.75666666666667,30.37333333333333,0.0,0.013988288874430816,-0.021042713567839138,0.4972193816182379,0.431463217507474,0.28591956911168803,0.5480046054705834,0.05084745762712058,0.3824665918458103,0.4821809217938953,0.05084745762712058,-0.010476190476190422,-0.003013483119892029,-0.08118662575838677
2012-03-13,0.8214999999999968,0.7323390587909296,0.7912954261379567,0.04014419236778826,0.8686163544406548,0.06877364879667265,0.4735012062041805,0.0,-0.010877349065868794,-0.02140610010596885,273995.3607227859,31.82,31.48713897067049,31.77122124368853,405534.99999999907,176796.00000000032,-9711.999999999793,-2.257338731306148,31.82000000000001,31.35600000000011,31.878095238095217,-0.1785735140121858,-0.10478658062408776,-0.07378693338809804,1.0,0.8,0.5238095238095238,0.6499999999999986,1.0800000000000018,-0.01999999999999957,25.76157792463168,1076200.0,456560.0,5138.095238095239,31.552833333333336,32.097166666666666,32.37433333333334,32.91866666666667,31.275666666666673,30.73133333333334,30.45416666666668,0.0,0.0261206062560464,0.0044191919191919355,0.3709644470964183,0.4113445594424017,0.3146903239710933,0.5480932315529109,0.987827145465614,0.5842534430524116,0.5281487603095061,0.987827145465614,0.02085338466474169,-0.0019493118697969198,-0.06805580109098988
2012-03-14,0.7199999999999989,0.7282260391939527,0.7848140237617787,0.03194274344124772,0.4342519894664889,0.07007916717570267,0.2747986575591195,0.0,0.0003240024426543904,-0.024475847921179003,17678.755013746882,31.36,31.444759313780324,31.733837494262296,306038.0000000006,-44834.999999999716,149440.00000000015,-2.530986052286024,31.36000000000001,31.42600000000011,31.862857142857127,-0.18606181513486675,-0.12104162752624355,-0.06502018760862319,0.0,0.6,0.5238095238095238,-0.4600000000000009,0.3499999999999979,-0.3200000000000003,25.721312156405826,-410900.0,266580.0,27376.190476190477,31.48,31.78,32.2,32.5,31.06,30.76,30.340000000000003,0.0,0.0025575447570331928,-0.014146494812951882,0.477002850486537,0.4269898109301863,0.2509581638461635,0.5582306231024542,0.25,0.4728356287016077,0.5028625093722782,0.25,-0.014456316781898203,-0.0014071842993077202,-0.07029770081144658
2012-03-15,0.5500000000000007,0.6688173594626354,0.7634672943288897,0.03158682442531438,0.3690537683468657,0.07180966233043279,0.2644371215172657,0.0,0.0012168735096693135,-0.02650888260858229,-93735.81761227443,31.3,31.396506209186878,31.694397722056635,3815.9999999999186,-4227.99999999991,329765.9999999987,-2.96311648824406,31.300000000000008,31.430000000000113,31.83857142857141,-0.1945946799445508,-0.13575223800990505,-0.05884244193464577,0.0,0.4,0.5238095238095238,-0.05999999999999873,0.01999999999999957,-0.509999999999998,25.568162705069962,-347300.0,85380.0,-36490.47619047618,31.41666666666667,31.633333333333336,31.96666666666667,32.18333333333334,31.083333333333336,30.86666666666667,30.53333333333333,0.0,-0.006349206349206328,-0.015723270440251572,0.47700285048653707,0.4269898109301863,0.24819347292190866,0.5715792658422696,0.18181818181818413,0.3758298130737999,0.4736766614128151,0.18181818181818413,-0.0019132653061224077,-0.001179529256841878,-0.07366727731564182
2012-03-16,0.5900000000000034,0.6425449063084248,0.7476975402989909,0.034180741461293955,0.31903740917410905,0.07418668239817683,0.22939278706292465,0.0,-0.00036095900719402353,-0.030419417442839762,-221682.85693485689,31.17,31.32100413945793,31.646725201869675,-49633.99999999962,-55406.999999999716,-81395.99999999987,-3.219139372796163,31.17000000000001,31.36400000000011,31.808571428571412,-0.20943274006673107,-0.15048833842127027,-0.0589444016454608,0.0,0.2,0.4761904761904762,-0.129999999999999,-0.3299999999999983,-0.629999999999999,25.43677303738037,-729100.0,-172680.0,-42642.857142857145,31.30666666666667,31.53333333333334,31.896666666666675,32.12333333333334,30.94333333333333,30.716666666666665,30.35333333333333,0.0,0.0,-0.0462056303549571,0.289055830087466,0.4046797169277272,0.2680111937980069,0.5899430965277873,0.15254237288136085,0.30140066634298684,0.4444826351826829,0.15254237288136085,-0.004153354632587827,-0.0012137094340507989,-0.07986735778223816
2012-03-19,0.6600000000000001,0.6483632708722832,0.7397250366354463,0.03442602663513398,0.6901806758988239,0.06996281271521387,0.4592825998670443,0.0,-1.303631982862338e-05,-0.030401816920043345,-9984.806907899921,31.67,31.43733609297195,31.648841092608794,-138900.0,-500.0,225734.99999999962,-3.128786150352254,31.670000000000016,31.46400000000011,31.760476190476176,-0.17878526306767384,-0.156147723350551,-0.022637539717122845,1.0,0.4,0.4761904761904762,0.5,0.5,-1.009999999999998,25.38048508233016,451300.0,8040.0,-53285.714285714275,31.54333333333333,31.93666666666667,32.20333333333333,32.596666666666664,31.27666666666667,30.88333333333333,30.61666666666667,0.0,-0.004714016341923274,-0.01920099101889122,0.5792056950785663,0.4420897186333736,0.2707951255119649,0.5555130618650735,0.7878787878787924,0.4635600401882554,0.4757004672459657,0.7878787878787924,0.016041065126724412,-0.0006841267605334093,-0.06903582963109134
2012-03-20,0.5,0.5989088472481888,0.7179318514867693,0.029107712627570507,0.7666579080004057,0.06835236216212863,0.4762883755340462,0.0,0.00884663180741822,-0.031720937065941264,160722.47975040035,31.68,31.5182240619813,31.65167372055345,1410.9999999997192,67732.00000000028,-86619.99999999991,-3.135922905458445,31.68000000000001,31.436000000000114,31.731428571428555,-0.1519385473212047,-0.15530588814468174,0.003367340823477033,0.0,0.2,0.4761904761904762,0.009999999999998007,-0.14000000000000054,-0.6099999999999994,25.296474548400326,592400.0,-88720.0,-3628.571428571429,31.53333333333333,31.856666666666666,32.03333333333333,32.35666666666666,31.356666666666666,31.03333333333333,30.856666666666666,0.0,0.01020408163265307,-0.02282541640962375,0.5792056950785662,0.4420897186333736,0.22875751354007745,0.542229524409,0.9399999999999976,0.6223733601255028,0.5179095156781505,0.9399999999999976,0.0003157562361856019,-8.662914769383099e-05,-0.0600179011157276
2012-03-21,0.4499999999999993,0.5492725648321256,0.6935744104425174,0.02870657762427316,0.4601199520929853,0.06596976141859492,0.3692273821319367,0.0,0.002774220870128153,-0.033983601938151316,-45724.03750305713,31.41,31.4821493746542,31.629703382321324,-121445.99999999981,31565.000000000447,-488133.00000000076,-3.250010805786915,31.41000000000001,31.44600000000012,31.68333333333332,-0.15071176378969042,-0.15438706327368348,0.003675299483993061,0.0,0.2,0.42857142857142855,-0.2699999999999996,0.05000000000000071,-1.0100000000000016,25.14770632910141,-1042200.0,-214980.0,-79871.42857142858,31.45333333333333,31.656666666666666,31.903333333333336,32.10666666666667,31.20666666666667,31.00333333333333,30.75666666666667,0.0,0.003514376996805093,-0.025442134657151626,0.5792056950785663,0.4420897186333735,0.22567675999322434,0.5225354852364538,0.3555555555555565,0.5334340919355207,0.5031500647579146,0.3555555555555565,-0.00852272727272726,6.134118026694168e-05,-0.060310974083838474
