Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,SO%k,Trix_1
2016-03-23,1.6200000000000043,0.0,89.96,89.95999999999952,1.0,1491905.0,89.86,90.72,91.48000000000002,92.34,89.1,88.24,87.47999999999998,0.0,0.5925925925925871,0.5925925925925871,0.006601767931072946
2016-03-24,2.0999000000000048,0.0,88.23,88.22999999999955,0.0,-1488329.0,88.77663333333334,89.55326666666667,90.87653333333333,91.65316666666668,87.45336666666668,86.67673333333332,85.35346666666666,0.0,0.1095290251916774,0.1095290251916774,-0.019230769230769117
2016-03-28,1.7099999999999935,0.0,89.44,89.43999999999956,1.0,1128463.0,89.22666666666667,90.15333333333336,90.86666666666667,91.79333333333336,88.51333333333334,87.58666666666667,86.87333333333332,0.0,0.6951219512195123,0.6951219512195123,0.013714156182704223
2016-03-29,0.8000000000000114,0.0,90.02,90.01999999999956,1.0,1018440.0,89.83999999999996,90.32999999999998,90.64,91.13,89.52999999999996,89.03999999999998,88.72999999999996,0.0,0.8374999999999903,0.8374999999999903,0.006484794275491932
2016-03-30,1.0,0.0,89.94,89.93999999999956,1.0,-1240514.0,89.94666666666667,90.44333333333334,90.94666666666667,91.44333333333334,89.44333333333334,88.94666666666667,88.44333333333334,0.0,0.4899999999999949,0.4899999999999949,-0.0008886914019106678
2016-03-31,1.1099999999999994,0.0,89.42,89.41999999999956,0.0,-1145543.0,89.73,90.13,90.84000000000002,91.24,89.02000000000002,88.62,87.91000000000004,0.0,0.0810810810810842,0.0810810810810842,-0.005781632199243897
2016-04-01,2.200000000000003,0.0,91.3,91.29999999999956,1.0,1659979.0,90.61333333333334,92.05666666666669,92.81333333333336,94.25666666666667,89.85666666666668,88.41333333333334,87.65666666666668,0.0,0.9681818181818148,0.9681818181818148,0.02102437933348239
2016-04-04,1.3599999999999994,0.0,91.0,90.99999999999956,1.0,-1415360.0,91.08,91.72,92.44,93.08,90.36,89.72,89.0,0.0,0.4117647058823548,0.4117647058823548,-0.003285870755750243
2016-04-05,1.7399999999999949,0.0,91.28,91.27999999999956,1.0,2442932.0,91.15333333333336,92.0866666666667,92.89333333333336,93.8266666666667,90.34666666666668,89.41333333333336,88.6066666666667,0.0,0.6091954022988537,0.6091954022988537,0.003076923076923089
2016-04-06,1.2399999999999949,0.0,91.24,91.23999999999958,0.0,-1083578.0,90.96,91.71999999999998,92.19999999999996,92.95999999999998,90.48,89.72,89.24,0.0,0.8387096774193519,0.8387096774193519,-0.00043821209465388087
2016-04-07,1.5300000000000011,0.0,89.97,89.9699999999996,0.0,-1620519.0,90.20833333333331,90.70666666666666,91.44333333333331,91.94166666666666,89.47166666666666,88.97333333333331,88.23666666666666,0.0,0.21052631578947792,0.21052631578947792,-0.013919333625602765
2016-04-08,1.8700000000000043,0.0,91.52,91.51999999999958,1.0,1259881.0,91.11333333333332,92.24666666666666,92.97333333333331,94.10666666666664,90.38666666666666,89.25333333333332,88.52666666666666,0.0,0.8279569892473078,0.8279569892473078,0.01722796487718125
2016-04-11,1.5799999999999983,0.0,90.75,90.7499999999996,1.0,-1206598.0,91.23,91.78,92.81,93.36,90.2,89.65,88.62,0.0,0.04430379746835016,0.04430379746835016,-0.008413461538461495
2016-04-12,1.019999999999996,0.0,90.6,90.59999999999957,0.0,-989110.0,90.84,91.22999999999998,91.86,92.24999999999996,90.20999999999998,89.82,89.18999999999998,0.0,0.14705882352940394,0.14705882352940394,-0.0016528925619835337
2016-04-13,1.4299999999999926,0.0,89.36,89.3599999999996,0.0,-1356593.0,89.77,90.28,91.19999999999996,91.70999999999998,88.85,88.34,87.42,0.0,0.06993006993006631,0.06993006993006631,-0.013686534216335484
2016-04-14,1.3299999999999983,0.0,88.25,88.2499999999996,0.0,-1996334.0,88.64666666666666,89.11333333333332,89.97666666666666,90.44333333333331,87.78333333333332,87.31666666666666,86.45333333333332,0.0,0.05263157894736336,0.05263157894736336,-0.012421665174574749
2016-04-15,0.7250000000000085,0.0,88.43,88.42999999999962,0.0,1533217.0,88.22166666666668,88.68833333333336,88.94666666666667,89.41333333333338,87.96333333333334,87.49666666666668,87.23833333333334,0.0,0.9310344827586254,0.9310344827586254,0.002039660056657301
2016-04-18,0.6599999999999966,0.0,88.82,88.8199999999996,1.0,1196058.0,88.74000000000002,89.11000000000001,89.4,89.77000000000002,88.45000000000002,88.08000000000001,87.79000000000002,0.0,0.6818181818181681,0.6818181818181681,0.004410268008594214
2016-04-19,1.1899999999999975,0.0,89.59,89.5899999999996,1.0,1337482.0,89.33999999999996,90.05999999999996,90.52999999999996,91.24999999999996,88.86999999999998,88.14999999999998,87.67999999999998,0.0,0.8151260504201687,0.8151260504201687,0.008669218644449564
2016-04-20,1.8100000000000025,0.0,87.85,87.8499999999996,0.0,-1283755.0,88.43333333333332,89.04666666666668,90.24333333333334,90.85666666666664,87.23666666666666,86.62333333333332,85.42666666666666,0.0,0.016574585635359722,0.016574585635359722,-0.01942181046991862
2016-04-21,1.9399999999999973,0.0,86.42,86.4199999999996,0.0,-1950098.0,86.80666666666669,87.58333333333334,88.74666666666668,89.52333333333334,85.64333333333335,84.86666666666667,83.70333333333333,0.0,0.20103092783505208,0.20103092783505208,-0.016277746158224162
2016-04-22,0.5400000000000063,0.0,86.62,86.61999999999959,0.0,1471558.0,86.55333333333334,86.85666666666668,87.09333333333336,87.39666666666668,86.31666666666668,86.01333333333334,85.77666666666667,0.0,0.6851851851851857,0.6851851851851857,0.002314279102059741
2016-04-25,1.259999999999991,0.0,87.63,87.6299999999996,1.0,1191134.0,87.26333333333332,88.07666666666664,88.5233333333333,89.33666666666662,86.81666666666666,86.00333333333332,85.55666666666666,0.0,0.9365079365079374,0.9365079365079374,0.011660124682521252
2016-04-26,1.0349999999999966,0.0,87.78,87.7799999999996,1.0,1535031.0,87.955,88.38499999999998,88.98999999999998,89.41999999999999,87.35,86.92,86.315,0.0,0.2463768115941993,0.2463768115941993,0.0017117425539199553
2016-04-27,2.739999999999996,0.0,90.38,90.3799999999996,1.0,2670568.0,90.01166666666666,90.8883333333333,91.39666666666665,92.2733333333333,89.50333333333332,88.62666666666668,88.11833333333333,0.0,0.8989169675090242,0.8989169675090242,0.02961950330371376
2016-04-28,1.5945000000000111,0.0,90.61,90.60999999999962,1.0,1554597.0,90.4185,91.3115,92.01299999999999,92.906,89.71699999999998,88.82399999999998,88.12249999999996,0.0,0.6801505174035737,0.6801505174035737,0.0025448107988493467
2016-04-29,0.9399999999999976,0.0,90.91,90.9099999999996,1.0,1542989.0,90.63,91.24,91.56999999999998,92.18,90.3,89.69,89.36,0.0,0.9468085106383008,0.9468085106383008,0.0033108928374351305
2016-05-02,1.6300000000000097,0.0,92.06,92.05999999999963,1.0,1409638.0,91.77666666666666,92.73333333333332,93.40666666666668,94.36333333333332,91.10333333333332,90.14666666666665,89.4733333333333,0.0,0.7607361963190195,0.7607361963190195,0.012649873501265051
2016-05-03,1.0,0.0,92.05,92.0499999999996,1.0,-1108230.0,92.11666666666667,92.58333333333334,93.11666666666667,93.58333333333334,91.58333333333334,91.11666666666667,90.58333333333334,0.0,0.3999999999999915,0.3999999999999915,-0.00010862480990663825
2016-05-04,1.5799999999999983,0.0,92.74,92.73999999999964,1.0,847931.0,92.37333333333332,93.34666666666666,93.95333333333336,94.92666666666666,91.76666666666668,90.79333333333334,90.18666666666668,0.0,0.8481012658227789,0.8481012658227789,0.007495926127104809
2016-05-05,0.9399000000000086,0.0,92.98,92.97999999999963,1.0,979991.0,93.05996666666668,93.48993333333335,93.99986666666668,94.42983333333338,92.55003333333336,92.12006666666667,91.61013333333337,0.0,0.3723800404298386,0.3723800404298386,0.0025878800948890357
2016-05-06,1.5300000000000011,0.0,93.95,93.94999999999963,1.0,925893.0,93.55333333333334,94.51666666666668,95.08333333333334,96.04666666666668,92.98666666666668,92.02333333333334,91.45666666666668,0.0,0.8888888888888878,0.8888888888888878,0.010432351043235092
2016-05-09,1.0650000000000122,0.0,94.89,94.88999999999963,1.0,1094682.0,94.615,95.285,95.68,96.35,94.21999999999998,93.54999999999998,93.15499999999996,0.0,0.8873239436619689,0.8873239436619689,0.010005321979776452
2016-05-10,1.1099999999999994,0.0,95.43,95.42999999999964,1.0,1213045.0,95.29333333333334,95.91666666666669,96.40333333333332,97.02666666666669,94.80666666666669,94.18333333333334,93.69666666666667,0.0,0.6846846846846897,0.6846846846846897,0.005690799873537846
2016-05-11,1.0799999999999983,0.0,94.77,94.76999999999964,0.0,-604170.0,95.05666666666666,95.45333333333332,96.13666666666666,96.53333333333332,94.37333333333332,93.97666666666666,93.29333333333332,0.0,0.10185185185185147,0.10185185185185147,-0.0069160641307765966
2016-05-12,1.1700000000000017,0.0,95.56,95.55999999999963,1.0,1124617.0,95.17,95.95,96.34000000000002,97.12,94.78,94.0,93.61,0.0,1.0,1.0,0.008335971298934328
2016-05-13,1.3299999999999983,0.0,94.91,94.90999999999964,0.0,-803942.0,95.08,95.66,96.41,96.99,94.33,93.75,93.0,0.0,0.30827067669172714,0.30827067669172714,-0.006802009208874065
2016-05-16,1.2249999999999943,0.0,94.43,94.42999999999964,0.0,-1440435.0,94.365,95.01000000000002,95.59,96.235,93.78500000000004,93.14,92.56000000000004,0.0,0.579591836734703,0.579591836734703,-0.005057422821620375
2016-05-17,2.430000000000007,0.0,92.41,92.40999999999964,0.0,-1118695.0,92.90000000000002,93.80000000000004,95.19000000000004,96.09000000000003,91.51000000000003,90.61,89.22000000000004,0.0,0.1790393013100417,0.1790393013100417,-0.02139150693635508
2016-05-18,1.3799999999999957,0.0,91.85,91.84999999999962,0.0,-1110066.0,91.98333333333332,92.60666666666668,93.36333333333332,93.98666666666666,91.22666666666667,90.60333333333334,89.84666666666668,0.0,0.3550724637681134,0.3550724637681134,-0.006059950221837488
2016-05-19,0.769999999999996,0.0,92.2,92.19999999999962,1.0,665320.0,92.01666666666668,92.49333333333333,92.78666666666665,93.26333333333332,91.72333333333331,91.24666666666668,90.95333333333332,0.0,0.8571428571428571,0.8571428571428571,0.003810560696788335
2016-05-20,1.5400000000000065,0.0,91.21,91.20999999999962,0.0,-884337.0,91.67666666666666,92.21333333333332,93.21666666666668,93.75333333333332,90.67333333333332,90.13666666666666,89.13333333333333,0.0,0.045454545454540835,0.045454545454540835,-0.01073752711496756
2016-05-23,1.0900000000000034,0.0,91.91,91.9099999999996,1.0,914546.0,91.8,92.4,92.89,93.49,91.31,90.71,90.21999999999998,0.0,0.6513761467889829,0.6513761467889829,0.007674597083653141
2016-05-24,1.1000000000000083,0.0,92.69,92.68999999999964,1.0,832884.0,92.60666666666668,93.09333333333332,93.49666666666668,93.98333333333332,92.20333333333332,91.71666666666668,91.31333333333332,0.0,0.6404494382022391,0.6404494382022391,0.008486562942008499
2016-05-25,1.0679999999999978,0.0,91.77,91.76999999999964,0.0,-788287.0,92.10600000000001,92.47200000000001,93.174,93.54,91.404,91.038,90.336,0.0,0.028089887640450558,0.028089887640450558,-0.009925558312655106
2016-05-26,0.6500000000000057,0.0,92.18,92.17999999999964,0.0,941006.0,92.10333333333334,92.46666666666668,92.75333333333334,93.11666666666667,91.81666666666668,91.45333333333332,91.16666666666669,0.0,0.6769230769230894,0.6769230769230894,0.004467690966546921
2016-05-27,0.8634999999999877,0.0,92.15,92.14999999999964,1.0,-703100.0,92.2355,92.6245,93.09899999999998,93.488,91.761,91.372,90.89750000000002,0.0,0.35147654892878283,0.35147654892878283,-0.0003254502061184761
2016-05-31,1.6899999999999975,0.0,91.4,91.39999999999964,0.0,-2048524.0,91.69666666666667,92.39333333333336,93.38666666666666,94.08333333333334,90.70333333333336,90.00666666666667,89.01333333333334,0.0,0.2366863905325481,0.2366863905325481,-0.008138903960933261
2016-06-01,1.1199999999999903,0.0,92.35,92.34999999999962,1.0,1125925.0,92.09,92.77999999999996,93.20999999999998,93.89999999999996,91.65999999999998,90.97,90.54,0.0,0.8482142857142829,0.8482142857142829,0.010393873085339045
2016-06-02,0.5700000000000074,0.0,92.04,92.03999999999964,0.0,-669584.0,92.07,92.34000000000002,92.64,92.91000000000004,91.77,91.5,91.2,0.0,0.4210526315789579,0.4210526315789579,-0.0033567948023821123
2016-06-03,0.8623999999999938,0.0,92.71,92.70999999999964,1.0,657763.0,92.47746666666666,93.02493333333332,93.33986666666664,93.8873333333333,92.16253333333331,91.61506666666666,91.30013333333332,0.0,0.9044526901669672,0.9044526901669672,0.00727944372012155
2016-06-06,0.7999999999999972,0.0,92.32,92.31999999999964,0.0,-560857.0,92.46666666666664,92.79333333333332,93.26666666666664,93.5933333333333,91.99333333333333,91.66666666666666,91.19333333333331,0.0,0.2249999999999916,0.2249999999999916,-0.0042066659475784775
2016-06-07,0.730000000000004,0.0,91.78,91.77999999999963,0.0,-881267.0,91.96333333333332,92.23666666666664,92.69333333333331,92.96666666666664,91.50666666666665,91.23333333333332,90.77666666666664,0.0,0.12328767123288073,0.12328767123288073,-0.005849220103986049
2016-06-08,0.9500000000000028,0.0,91.86,91.85999999999964,0.0,848708.0,91.60333333333334,92.20666666666668,92.55333333333334,93.15666666666668,91.25666666666667,90.65333333333334,90.30666666666669,0.0,0.9052631578947336,0.9052631578947336,0.0008716495968620428
2016-06-09,1.0300000000000011,0.0,92.37,92.36999999999964,1.0,1079135.0,92.10666666666668,92.75333333333334,93.13666666666668,93.78333333333336,91.72333333333334,91.07666666666668,90.69333333333334,0.0,0.8834951456310774,0.8834951456310774,0.005551926845199272
2016-06-10,0.9799999999999898,0.0,92.22,92.21999999999964,0.0,-1026044.0,92.05333333333333,92.62666666666664,93.03333333333332,93.60666666666664,91.64666666666666,91.07333333333334,90.66666666666669,0.0,0.7551020408163291,0.7551020408163291,-0.0016239038648912598
2016-06-13,1.309999999999988,0.0,91.63,91.62999999999964,0.0,-841790.0,92.00666666666666,92.47333333333331,93.31666666666663,93.7833333333333,91.16333333333333,90.69666666666667,89.85333333333334,0.0,0.06870229007632826,0.06870229007632826,-0.00639774452396447
2016-06-14,1.6099999999999994,0.0,91.72,91.71999999999964,0.0,1204620.0,91.26333333333332,92.29666666666664,92.87333333333332,93.90666666666664,90.68666666666664,89.65333333333332,89.07666666666664,0.0,0.9254658385093141,0.9254658385093141,0.000982211066244717
2016-06-15,1.039999999999992,0.0,91.3,91.29999999999964,1.0,-983425.0,91.43333333333334,91.88666666666668,92.47333333333331,92.92666666666666,90.84666666666668,90.39333333333336,89.80666666666669,0.0,0.3076923076923035,0.3076923076923035,-0.0045791539467946105
2016-06-16,1.5699999999999932,0.0,92.41,92.40999999999964,1.0,1201504.0,91.92666666666666,92.95333333333332,93.49666666666664,94.52333333333333,91.38333333333333,90.35666666666668,89.81333333333332,0.0,0.9617834394904442,0.9617834394904442,0.012157721796276008
2016-06-17,1.8499999999999943,0.0,91.37,91.36999999999964,0.0,-1677751.0,91.33323333333334,92.10646666666668,92.84293333333336,93.61616666666669,90.59676666666668,89.82353333333334,89.08706666666669,0.0,0.5365304365105682,0.5365304365105682,-0.011254193269126632
2016-06-20,1.2563999999999993,0.0,91.97,91.96999999999964,1.0,815544.0,92.1538,92.4426,92.9152,93.20400000000002,91.6812,91.3924,90.9198,0.0,0.13790386130812024,0.13790386130812024,0.006566706796541472
2016-06-21,0.9200000000000016,0.0,92.37,92.36999999999964,1.0,631715.0,92.44003333333336,92.81996666666667,93.26993333333334,93.64986666666668,91.99006666666668,91.61013333333337,91.1601666666667,0.0,0.3734184841547185,0.3734184841547185,0.00434924431879967
2016-06-22,0.8900000000000006,0.0,92.11,92.10999999999962,0.0,-870597.0,92.34000000000002,92.67000000000004,93.23,93.56000000000004,91.78000000000004,91.45000000000002,90.89000000000004,0.0,0.1123595505617913,0.1123595505617913,-0.0028147666991447987
2016-06-23,0.5600000000000023,0.0,92.57,92.5699999999996,1.0,418309.0,92.43,92.78,92.99,93.34,92.21999999999998,91.87,91.65999999999998,0.0,0.8749999999999873,0.8749999999999873,0.0049940288785147524
2016-06-24,2.680099999999996,0.0,92.18,92.1799999999996,0.0,-1412419.0,91.73996666666666,93.30003333333332,94.42006666666666,95.98013333333333,90.61993333333332,89.05986666666666,87.93983333333333,0.0,0.7462781239506012,0.7462781239506012,-0.004213027978826687
2016-06-27,4.480000000000004,0.0,95.85,95.8499999999996,1.0,3621097.0,94.64333333333332,97.48666666666664,99.12333333333332,101.96666666666664,93.00666666666665,90.16333333333333,88.52666666666663,0.0,0.9040178571428557,0.9040178571428557,0.03981340854849194
2016-06-28,2.1299999999999955,0.0,94.73,94.7299999999996,1.0,-2098708.0,94.69666666666667,95.67333333333336,96.61666666666667,97.59333333333336,93.75333333333334,92.77666666666669,91.83333333333334,0.0,0.5260416666666689,0.5260416666666689,-0.0116849243609806
2016-06-29,1.9800000000000042,0.0,94.08,94.0799999999996,0.0,-1336883.0,94.42666666666666,95.24333333333333,96.40666666666664,97.22333333333331,93.26333333333332,92.44666666666666,91.28333333333332,0.0,0.2373737373737363,0.2373737373737363,-0.006861606671593008
2016-06-30,2.6099999999999994,0.0,96.63,96.62999999999958,1.0,1500428.0,95.77333333333333,97.50666666666665,98.38333333333334,100.11666666666665,94.89666666666665,93.16333333333333,92.28666666666665,0.0,0.992337164750954,0.992337164750954,0.027104591836734655
2016-07-01,1.5,0.0,95.65,95.64999999999958,1.0,-995560.0,96.09666666666664,96.6233333333333,97.59666666666664,98.1233333333333,95.1233333333333,94.59666666666664,93.6233333333333,0.0,0.05333333333334167,0.05333333333334167,-0.010141777915761045
2016-07-05,2.529999999999987,0.0,97.34,97.33999999999958,1.0,967749.0,96.98333333333336,98.42666666666668,99.51333333333334,100.95666666666668,95.8966666666667,94.45333333333336,93.36666666666672,0.0,0.7114624505928879,0.7114624505928879,0.017668583376894906
2016-07-06,1.6599999999999966,0.0,97.74,97.73999999999958,1.0,1592937.0,97.45333333333332,98.42666666666666,99.11333333333332,100.08666666666666,96.76666666666668,95.79333333333334,95.10666666666668,0.0,0.7590361445783094,0.7590361445783094,0.004109307581672401
2016-07-07,1.5600000000000025,0.0,97.01,97.0099999999996,0.0,-915584.0,97.41666666666669,97.99333333333334,98.97666666666666,99.55333333333334,96.43333333333334,95.85666666666668,94.87333333333332,0.0,0.1089743589743599,0.1089743589743599,-0.007468794761612336
2016-07-08,0.9100000000000108,0.0,97.13,97.12999999999958,0.0,822498.0,97.02666666666666,97.53333333333332,97.93666666666664,98.44333333333331,96.6233333333333,96.11666666666665,95.7133333333333,0.0,0.6703296703296617,0.6703296703296617,0.0012369858777444627
2016-07-11,1.1099999999999994,0.0,96.54,96.5399999999996,0.0,-876245.0,96.46666666666668,96.91333333333336,97.28666666666668,97.73333333333338,96.09333333333336,95.64666666666668,95.27333333333335,0.0,0.6341463414634214,0.6341463414634214,-0.0060743333676514895
2016-07-12,0.7999999999999972,0.0,96.81,96.8099999999996,1.0,831786.0,96.65,97.12999999999998,97.45,97.92999999999998,96.32999999999998,95.85,95.53,0.0,0.8000000000000036,0.8000000000000036,0.002796768178993123
2016-07-13,1.019999999999996,0.0,97.21,97.20999999999958,1.0,703595.0,96.96333333333332,97.59666666666664,97.98333333333332,98.61666666666665,96.57666666666664,95.94333333333331,95.55666666666666,0.0,0.8627450980392146,0.8627450980392146,0.004131804565643957
2016-07-14,1.6000000000000083,0.0,96.95,96.94999999999958,0.0,-727641.0,96.81,97.68,98.41000000000004,99.28000000000002,96.08,95.21,94.48,0.0,0.6312499999999999,0.6312499999999999,-0.002674621952473932
2016-07-15,0.6400000000000006,0.0,97.01,97.00999999999958,1.0,593843.0,97.05666666666669,97.35333333333334,97.69666666666667,97.99333333333334,96.71333333333334,96.41666666666669,96.07333333333334,0.0,0.3906249999999997,0.3906249999999997,0.0006188757091284403
2016-07-18,1.019999999999996,0.0,96.62,96.61999999999959,0.0,-439276.0,96.67333333333332,97.15666666666668,97.69333333333331,98.17666666666666,96.13666666666668,95.65333333333334,95.11666666666667,0.0,0.4215686274509887,0.4215686274509887,-0.004020204102669835
2016-07-19,1.2800000000000011,0.0,97.86,97.8599999999996,1.0,963224.0,97.44,98.29,98.72,99.57,97.01,96.16,95.73,0.0,0.992187499999996,0.992187499999996,0.01283378182570891
2016-07-20,1.0,0.0,97.79,97.78999999999958,1.0,-1219022.0,97.81666666666666,98.30333333333333,98.81666666666663,99.30333333333333,97.30333333333333,96.81666666666666,96.30333333333333,0.0,0.460000000000008,0.460000000000008,-0.0007153075822603022
2016-07-21,0.7200000000000131,0.0,97.57,97.56999999999957,0.0,-791135.0,97.41333333333334,97.75666666666667,97.94333333333331,98.28666666666668,97.22666666666667,96.88333333333334,96.69666666666667,0.0,0.9433962264150924,0.9433962264150924,-0.002249718785151989
2016-07-22,0.8500000000000085,0.0,98.34,98.33999999999958,1.0,671374.0,98.11,98.65000000000003,98.96000000000004,99.50000000000004,97.80000000000004,97.26,96.95000000000002,0.0,0.9058823529411796,0.9058823529411796,0.007891770011274063
2016-07-25,1.1499999999999917,0.0,98.02,98.01999999999956,0.0,-897519.0,97.85666666666668,98.51333333333334,99.00666666666665,99.66333333333333,97.36333333333334,96.70666666666668,96.21333333333335,0.0,0.7130434782608689,0.7130434782608689,-0.003254016676835544
2016-07-26,0.958999999999989,0.0,97.19,97.18999999999956,0.0,-1040357.0,97.463,97.806,98.42200000000001,98.765,96.84700000000002,96.50400000000002,95.88800000000003,0.0,0.07299270072992073,0.07299270072992073,-0.008467659661293597
2016-07-27,2.640000000000001,0.0,96.2,96.19999999999956,0.0,-1923704.0,95.93666666666668,97.32333333333334,98.44666666666667,99.83333333333334,94.81333333333332,93.42666666666666,92.30333333333333,0.0,0.6573705179282878,0.6573705179282878,-0.01018623315155875
2016-07-28,1.879999999999996,0.0,97.87,97.86999999999956,1.0,1124067.0,97.38333333333333,98.56666666666663,99.2633333333333,100.44666666666664,96.68666666666664,95.50333333333332,94.80666666666666,0.0,0.8882978723404286,0.8882978723404286,0.017359667359667378
2016-07-29,0.9399999999999976,0.0,98.51,98.50999999999956,1.0,980277.0,98.39,98.92,99.33,99.86,97.98,97.45,97.04,0.0,0.6914893617021354,0.6914893617021354,0.006539286809032396
2016-08-01,0.6900000000000119,0.0,98.0,97.99999999999956,0.0,-1309387.0,98.09,98.36,98.72,98.99,97.72999999999998,97.45999999999998,97.09999999999997,0.0,0.2857142857142921,0.2857142857142921,-0.0051771393767130755
2016-08-02,1.4599999999999935,0.0,97.01,97.00999999999956,0.0,-1348452.0,97.29,97.88,98.75,99.34,96.42000000000002,95.83,94.96000000000002,0.0,0.21232876712329013,0.21232876712329013,-0.010102040816326478
2016-08-03,1.0700000000000074,0.0,96.66,96.65999999999956,0.0,-887097.0,96.77666666666669,97.25333333333336,97.84666666666668,98.32333333333338,96.18333333333337,95.70666666666668,95.11333333333336,0.0,0.3364485981308383,0.3364485981308383,-0.0036078754767550616
2016-08-04,1.039999999999992,0.0,97.19,97.18999999999956,1.0,873006.0,97.04333333333334,97.63666666666668,98.08333333333331,98.67666666666666,96.59666666666668,96.00333333333334,95.55666666666669,0.0,0.7115384615384621,0.7115384615384621,0.005483136768052981
2016-08-05,1.809999999999988,0.0,96.78,96.77999999999956,1.0,-1130100.0,97.15000000000002,97.87000000000003,98.96,99.68000000000002,96.06000000000004,95.34000000000003,94.25000000000006,0.0,0.1933701657458545,0.1933701657458545,-0.0042185410021606815
2016-08-08,1.2699999999999958,0.0,95.93,95.92999999999958,0.0,-1110237.0,96.07333333333334,96.63666666666668,97.34333333333336,97.90666666666668,95.36666666666667,94.80333333333334,94.09666666666668,0.0,0.3307086614173252,0.3307086614173252,-0.008782806364951377
2016-08-09,1.0549999999999926,0.0,95.9,95.89999999999958,1.0,-1293780.0,96.11833333333334,96.53666666666668,97.17333333333332,97.59166666666668,95.48166666666668,95.06333333333336,94.42666666666668,0.0,0.18957345971564385,0.18957345971564385,-0.0003127280308558442
2016-08-10,1.6199999999999903,0.0,97.03,97.02999999999956,1.0,1098985.0,96.68333333333332,97.66666666666664,98.30333333333333,99.28666666666665,96.04666666666664,95.06333333333332,94.42666666666666,0.0,0.8209876543209915,0.8209876543209915,0.011783107403545313
2016-08-11,1.0300000000000011,0.0,96.98,96.9799999999996,1.0,-944465.0,97.10333333333334,97.55666666666669,98.13333333333335,98.58666666666667,96.52666666666669,96.07333333333334,95.49666666666668,0.0,0.3203883495145611,0.3203883495145611,-0.0005153045449860574
2016-08-12,0.6199000000000012,0.0,97.23,97.22999999999958,1.0,655606.0,97.1967,97.52330000000002,97.8166,98.14320000000002,96.90340000000002,96.5768,96.28350000000002,0.0,0.5805775125020319,0.5805775125020319,0.002577851103320272
2016-08-15,0.5,0.0,97.0,96.99999999999956,0.0,-699271.0,97.11333333333334,97.30666666666669,97.61333333333336,97.80666666666669,96.80666666666669,96.61333333333334,96.30666666666669,0.0,0.1599999999999966,0.1599999999999966,-0.002365525043710829
2016-08-16,1.840000000000004,0.0,95.21,95.20999999999957,0.0,-1433987.0,95.77666666666666,96.39333333333332,97.57666666666664,98.19333333333331,94.59333333333332,93.97666666666666,92.79333333333332,0.0,0.027777777777776243,0.027777777777776243,-0.018453608247422745
2016-08-17,1.1500000000000057,0.0,95.89,95.88999999999956,0.0,1484339.0,95.58666666666666,96.31333333333332,96.73666666666666,97.46333333333332,95.16333333333333,94.43666666666664,94.0133333333333,0.0,0.8956521739130401,0.8956521739130401,0.007142106921541927
2016-08-18,0.8425000000000011,0.0,95.64,95.63999999999956,1.0,-726155.0,95.77916666666664,96.13083333333331,96.62166666666666,96.97333333333331,95.28833333333333,94.93666666666664,94.44583333333333,0.0,0.25222551928784026,0.25222551928784026,-0.0026071540306601315
2016-08-19,1.3299999999999983,0.0,94.95,94.94999999999958,0.0,-1388283.0,95.03333333333332,95.65666666666664,96.36333333333332,96.98666666666664,94.32666666666664,93.70333333333332,92.99666666666664,0.0,0.40601503759399016,0.40601503759399016,-0.007214554579673753
2016-08-22,0.940000000000012,0.0,94.47,94.46999999999956,0.0,-2013510.0,94.63,95.02,95.57,95.96,94.07999999999998,93.68999999999998,93.13999999999996,0.0,0.2446808510638309,0.2446808510638309,-0.00505529225908377
2016-08-23,2.2100000000000084,0.0,93.47,93.46999999999954,0.0,-1545163.0,93.83333333333331,94.75666666666666,96.04333333333332,96.96666666666668,92.54666666666664,91.62333333333332,90.33666666666664,0.0,0.25339366515837114,0.25339366515837114,-0.010585371017254154
2016-08-24,1.259999999999991,0.0,93.41,93.40999999999954,0.0,-1373860.0,93.43,94.04999999999998,94.69,95.30999999999996,92.79,92.17,91.53,0.0,0.4761904761904751,0.4761904761904751,-0.0006419171926821684
2016-08-25,0.7199999999999989,0.0,93.52,93.51999999999956,1.0,1188663.0,93.52,93.88,94.23999999999998,94.6,93.16,92.8,92.44,0.0,0.5,0.5,0.0011776041109088902
2016-08-26,1.2049999999999983,0.0,93.28,93.27999999999956,1.0,-884933.0,93.545,94.015,94.75,95.22,92.81,92.34,91.605,0.0,0.17012448132779964,0.17012448132779964,-0.0025662959794695767
2016-08-29,0.6800000000000068,0.0,93.39,93.38999999999956,0.0,778316.0,93.42333333333332,93.74666666666668,94.10333333333332,94.42666666666668,93.06666666666666,92.74333333333333,92.38666666666666,0.0,0.42647058823529904,0.42647058823529904,0.0011792452830188618
2016-08-30,0.7899999999999922,0.0,93.17,93.16999999999956,0.0,-963289.0,93.26666666666668,93.61333333333332,94.05666666666666,94.40333333333332,92.82333333333334,92.47666666666667,92.03333333333336,0.0,0.31645569620253483,0.31645569620253483,-0.002355712603062414
