Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,SO%k,Trix_1
2013-08-09,0.7749999999999986,0.0,63.25,63.24999999999998,1.0,-568500.0,63.31833333333334,63.67166666666667,64.09333333333333,64.44666666666666,62.89666666666667,62.54333333333334,62.12166666666667,0.0,0.3677419354838672,0.3677419354838672,-0.0006320113762047582
2013-08-12,0.5300000000000011,0.0,62.94,62.93999999999997,0.0,-513300.0,63.06333333333333,63.26666666666666,63.59333333333333,63.79666666666667,62.73666666666666,62.53333333333333,62.20666666666666,0.0,0.15094339622641156,0.15094339622641156,-0.004901185770751024
2013-08-13,0.9249999999999972,0.0,63.05,63.04999999999997,0.0,394500.0,62.93833333333333,63.45666666666666,63.86333333333333,64.38166666666666,62.53166666666666,62.01333333333334,61.60666666666667,0.0,0.6810810810810782,0.6810810810810782,0.0017476962186208998
2013-08-14,0.9000000000000057,0.0,62.31,62.309999999999974,0.0,-376400.0,62.51,62.86,63.41,63.76000000000001,61.96,61.60999999999999,61.05999999999999,0.0,0.16666666666667193,0.16666666666667193,-0.011736716891355987
2013-08-15,1.1500000000000057,0.0,61.66,61.65999999999997,0.0,-417100.0,61.67533333333333,62.19066666666667,62.72133333333335,63.23666666666668,61.14466666666666,60.62933333333333,60.09866666666666,0.0,0.4780114722753317,0.4780114722753317,-0.010431712405713459
2013-08-16,0.730000000000004,0.0,61.52,61.51999999999998,0.0,-484300.0,61.49,61.87000000000001,62.22000000000001,62.60000000000001,61.14,60.76,60.41,0.0,0.5616438356164404,0.5616438356164404,-0.002270515731430319
2013-08-19,0.9799999999999968,0.0,61.39,61.38999999999998,0.0,-463600.0,61.45666666666667,61.91333333333334,62.43666666666667,62.89333333333334,60.93333333333334,60.47666666666667,59.95333333333335,0.0,0.3979591836734712,0.3979591836734712,-0.002113133940182096
2013-08-20,0.6499999999999986,0.0,61.69,61.68999999999998,1.0,419800.0,61.61333333333334,61.97666666666667,62.26333333333334,62.62666666666667,61.32666666666668,60.96333333333334,60.67666666666668,0.0,0.6769230769230749,0.6769230769230749,0.004886789379377703
2013-08-21,0.8599999999999994,0.0,61.74,61.73999999999998,1.0,335000.0,61.71333333333334,62.15666666666667,62.57333333333333,63.01666666666667,61.29666666666667,60.85333333333334,60.43666666666668,0.0,0.5465116279069758,0.5465116279069758,0.0008105041335711503
2013-08-22,0.6500000000000057,0.0,62.03,62.02999999999998,1.0,267700.0,62.02,62.35000000000001,62.670000000000016,63.00000000000002,61.7,61.37,61.05,0.0,0.5230769230769238,0.5230769230769238,0.0046971169420148865
2013-08-23,0.9399999999999976,0.0,62.75,62.74999999999997,1.0,594600.0,62.56333333333333,63.12666666666666,63.50333333333333,64.06666666666666,62.18666666666667,61.62333333333334,61.24666666666667,0.0,0.7978723404255339,0.7978723404255339,0.01160728679671125
