Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,SO%k,Trix_1
2006-09-06,0.0,0.0,21.11,21.11,0.0,0.0,20.666666666666668,21.78333333333333,22.45666666666667,23.57333333333333,19.993333333333336,18.876666666666672,18.203333333333337,0.0,0.8715083798882679,0.8715083798882679,0.0
2006-09-07,2.289999999999999,0.0,22.1,22.1,1.0,5384800.0,21.83,23.11000000000001,24.12,25.4,20.820000000000004,19.540000000000006,18.530000000000005,0.0,0.6768558951965071,0.6768558951965071,0.046897205116058834
2006-09-08,1.1099999999999994,0.0,22.06,22.059999999999995,1.0,-3904500.0,22.13,22.65,23.239999999999995,23.76,21.54,21.02,20.43,0.0,0.4054054054054049,0.4054054054054049,-0.001809954751131344
2006-09-11,0.5599999999999987,0.0,21.74,21.74,0.0,-5187900.0,21.736666666666665,21.97333333333333,22.206666666666663,22.44333333333333,21.50333333333333,21.266666666666666,21.033333333333328,0.0,0.5106382978723384,0.5106382978723384,-0.014505893019038997
2006-09-12,0.6000000000000014,0.0,21.93,21.930000000000003,1.0,2288500.0,21.81,22.170000000000005,22.41,22.77000000000001,21.570000000000004,21.21,20.97,0.0,0.7999999999999988,0.7999999999999988,0.0087396504139835
2006-09-13,1.2699999999999996,0.0,22.55,22.550000000000004,1.0,3069700.0,22.58666666666667,23.16333333333333,23.77666666666667,24.35333333333333,21.97333333333334,21.396666666666672,20.783333333333346,0.0,0.4537815126050422,0.4537815126050422,0.028271773825809438
2006-09-14,0.879999999999999,0.0,21.81,21.81,0.0,-1378800.0,21.993333333333336,22.31666666666667,22.82333333333333,23.14666666666667,21.486666666666668,21.163333333333334,20.656666666666673,0.0,0.16867469879517746,0.16867469879517746,-0.03281596452328168
2006-09-15,0.6400000000000006,0.0,21.27,21.27,0.0,-2016000.0,21.436666666666667,21.673333333333336,22.07666666666667,22.313333333333336,21.033333333333328,20.796666666666667,20.393333333333327,0.0,0.10937500000000036,0.10937500000000036,-0.024759284731774377
2006-09-18,0.4800000000000004,0.0,21.66,21.66,1.0,900400.0,21.56,21.85,22.04000000000001,22.33,21.37,21.08,20.89,0.0,0.8125000000000004,0.8125000000000004,0.018335684062059262
2006-09-19,1.2699999999999996,0.0,21.4,21.4,1.0,-947200.0,21.71,22.189999999999994,22.98,23.459999999999994,20.919999999999995,20.44,19.649999999999995,0.0,0.13385826771653406,0.13385826771653406,-0.01200369344413673
