Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,Trix_1
2016-06-23,0.8899999999999935,0.0,56.84,56.83999999999998,0.0,-31805569.0,57.13666666666666,57.43333333333332,58.026666666666664,58.32333333333332,56.54333333333333,56.24666666666667,55.65333333333334,0.0,0.0,-0.005598320503848726
2016-06-24,2.3300000000000054,0.0,55.74,55.73999999999998,0.0,-4578424.0,55.67833333333334,56.84666666666667,57.95333333333334,59.12166666666667,54.57166666666667,53.40333333333334,52.29666666666667,0.0,0.5406593406593427,-0.019352568613652383
2016-06-27,1.1550000000000011,0.0,55.11,55.10999999999998,0.0,-2431859.0,55.005,55.42499999999999,55.73999999999999,56.15999999999999,54.68999999999999,54.27,53.95499999999999,0.0,0.7142857142857129,-0.011302475780409087
2016-06-28,1.1980000000000004,0.0,56.15,56.149999999999984,1.0,1863309.0,55.98266666666667,56.47533333333333,56.80066666666666,57.29333333333333,55.65733333333333,55.16466666666667,54.83933333333334,0.0,0.8068459657701691,0.01887134821266556
2016-06-29,0.7599999999999979,0.0,56.71,56.71,1.0,1196379.0,56.64666666666667,56.973333333333336,57.23666666666667,57.56333333333333,56.38333333333334,56.05666666666667,55.79333333333334,0.0,0.6610169491525475,0.009973285841496034
2016-06-30,1.3900000000000006,0.0,57.97,57.96999999999998,1.0,1305357.0,57.526666666666664,58.44333333333333,58.91666666666667,59.83333333333333,57.05333333333333,56.13666666666666,55.66333333333333,0.0,0.9784172661870496,0.02221830365014985
2016-07-01,0.7199999999999989,0.0,58.1,58.09999999999998,1.0,1448649.0,58.07333333333333,58.44666666666666,58.79333333333334,59.16666666666666,57.72666666666666,57.35333333333333,57.00666666666666,0.0,0.5555555555555545,0.002242539244436822
2016-07-05,0.8500000000000014,0.0,57.76,57.759999999999984,0.0,-1188810.0,57.67,58.08999999999999,58.41999999999999,58.83999999999999,57.33999999999999,56.92,56.58999999999999,0.0,0.6799999999999974,-0.005851979345955308
2016-07-06,1.009999999999998,0.0,58.59,58.59,1.0,1153846.0,58.31333333333333,58.95666666666666,59.32333333333334,59.96666666666666,57.94666666666666,57.30333333333334,56.93666666666667,0.0,0.9108910891089144,0.014369806094182919
2016-07-07,0.5,0.0,58.78,58.78,1.0,1062039.0,58.65333333333334,58.96666666666667,59.15333333333334,59.46666666666667,58.46666666666667,58.15333333333334,57.96666666666667,0.0,0.8799999999999955,0.003242874210616107
2016-07-08,1.5399999999999991,0.0,60.21,60.21000000000001,1.0,1544190.0,59.84333333333333,60.68666666666667,61.16333333333333,62.00666666666667,59.36666666666667,58.52333333333333,58.04666666666667,0.0,0.9166666666666672,0.024328002722014287
2016-07-11,0.9699999999999988,0.0,61.1,61.1,1.0,1233185.0,60.92433333333333,61.35566666666666,61.61133333333333,62.04266666666666,60.66866666666666,60.23733333333333,59.98166666666666,0.0,0.8835516739446891,0.014781597741239006
2016-07-12,0.7700000000000031,0.0,61.06,61.06,1.0,-1618500.0,61.07,61.45,61.84,62.22000000000001,60.68,60.3,59.91,0.0,0.4805194805194845,-0.0006546644844517046
2016-07-13,0.7000000000000028,0.0,61.38,61.38,1.0,1078386.0,61.32,61.7,62.02000000000001,62.40000000000001,61.0,60.62,60.3,0.0,0.6285714285714329,0.005240746806419921
2016-07-14,0.8500000000000014,0.0,61.33,61.32999999999999,1.0,-891067.0,61.60666666666666,61.89333333333333,62.45666666666667,62.74333333333333,61.04333333333332,60.75666666666666,60.19333333333332,0.0,0.01176470588235058,-0.0008145975887912068
2016-07-15,0.7599999999999979,0.0,61.29,61.28999999999999,0.0,-1054122.0,61.42333333333333,61.73666666666665,62.18333333333332,62.49666666666665,60.97666666666665,60.66333333333333,60.21666666666666,0.0,0.2368421052631581,-0.0006522093592042907
