Date,ATR_1,Copp_1,EMA_1,MA_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,Trix_1
2010-01-05,0.0,0.0,35.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0
2010-01-06,0.0,0.0,35.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0
2010-01-07,0.5,0.0,35.0,35.0,0.0,35.166666666666664,35.33333333333333,35.66666666666666,35.83333333333333,34.83333333333333,34.666666666666664,34.33333333333333,0.0,0.0
2010-01-08,1.5,0.0,33.5,33.5,-32200.0,33.85,34.2,34.90000000000001,35.25,33.15000000000001,32.800000000000004,32.10000000000001,0.0,-0.042857142857142864
2010-01-11,0.0,0.0,33.5,33.5,0.0,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0
2010-01-12,0.04999999999999717,0.0,33.5,33.5,0.0,33.516666666666666,33.53333333333333,33.56666666666666,33.58333333333333,33.48333333333333,33.46666666666667,33.43333333333334,0.0,0.0
2010-01-13,1.0,0.0,32.75,32.75,-226300.0,32.75333333333333,33.00666666666666,33.26333333333332,33.51666666666666,32.49666666666666,32.24333333333333,31.986666666666665,0.0,-0.022388059701492536
2010-01-14,0.0,0.0,32.75,32.75,0.0,32.75,32.75,32.75,32.75,32.75,32.75,32.75,0.0,0.0
2010-01-15,0.5,0.0,32.25,32.25,-45500.0,32.333333333333336,32.41666666666667,32.58333333333334,32.66666666666667,32.16666666666667,32.083333333333336,31.91666666666667,0.0,-0.015267175572519085
2010-01-19,0.5,0.0,32.0,32.0,-19400.0,32.0,32.25,32.5,32.75,31.75,31.5,31.25,0.0,-0.007751937984496123
2010-01-20,0.5,0.0,31.75,31.75,-600.0,31.66666666666667,31.833333333333336,31.91666666666667,32.083333333333336,31.583333333333336,31.41666666666667,31.333333333333336,0.0,-0.0078125
2010-01-21,0.25,0.0,31.6,31.6,-600.0,31.566666666666666,31.63333333333333,31.66666666666667,31.73333333333333,31.53333333333333,31.466666666666665,31.43333333333333,0.0,-0.004724409448818853
2010-01-22,0.10000000000000142,0.0,31.5,31.5,-200.0,31.5,31.5,31.5,31.5,31.5,31.5,31.5,0.0,-0.003164556962025361
2010-01-25,0.5,0.0,31.25,31.25,-1300.0,31.16666666666667,31.333333333333336,31.41666666666667,31.583333333333336,31.083333333333336,30.91666666666667,30.833333333333336,0.0,-0.007936507936507936
2010-01-26,0.5,0.0,30.75,30.75,-300.0,30.83333333333333,30.916666666666664,31.08333333333333,31.166666666666664,30.666666666666664,30.58333333333333,30.416666666666664,0.0,-0.016
2010-01-27,0.4499999999999993,0.0,30.75,30.75,0.0,30.766666666666666,30.98333333333333,31.216666666666665,31.43333333333333,30.53333333333333,30.316666666666666,30.08333333333333,0.0,0.0
2010-01-28,0.25,0.0,30.75,30.75,0.0,30.83333333333333,30.916666666666664,31.08333333333333,31.166666666666664,30.666666666666664,30.58333333333333,30.416666666666664,0.0,0.0
2010-01-29,0.3500000000000014,0.0,30.63,30.629999999999995,-30700.0,30.66,30.82,31.010000000000005,31.17,30.47,30.31,30.12,0.0,-0.0039024390243902773
2010-02-01,0.37999999999999895,0.0,30.5,30.5,-3500.0,30.41666666666667,30.583333333333336,30.66666666666667,30.833333333333336,30.333333333333336,30.16666666666667,30.083333333333336,0.0,-0.004244205027750539
2010-02-02,0.0,0.0,30.5,30.5,0.0,30.5,30.5,30.5,30.5,30.5,30.5,30.5,0.0,0.0
2010-02-03,0.75,0.0,29.75,29.75,-5200.0,29.866666666666664,29.98333333333333,30.21666666666667,30.33333333333333,29.63333333333333,29.516666666666666,29.283333333333324,0.0,-0.02459016393442624
2010-02-04,0.5,0.0,30.25,30.25,29400.0,30.16666666666667,30.333333333333336,30.41666666666667,30.583333333333336,30.083333333333336,29.91666666666667,29.833333333333336,0.0,0.01680672268907563
2010-02-05,0.5,0.0,30.5,30.5,1800.0,30.33333333333333,30.666666666666664,30.83333333333333,31.166666666666664,30.166666666666664,29.83333333333333,29.666666666666664,0.0,0.008264462809917356
2010-02-08,0.75,0.0,29.85,29.85,-47400.0,29.866666666666664,29.98333333333333,30.11666666666666,30.23333333333333,29.73333333333333,29.616666666666664,29.48333333333333,0.0,-0.02131147540983602
2010-02-09,0.8999999999999986,0.0,29.8,29.800000000000004,-29700.0,29.633333333333336,30.16666666666667,30.53333333333334,31.06666666666667,29.26666666666668,28.73333333333333,28.366666666666674,0.0,-0.0016750418760469248
2010-02-10,0.4500000000000029,0.0,29.75,29.750000000000004,-107600.0,29.66666666666667,29.93333333333333,30.11666666666667,30.38333333333334,29.48333333333333,29.216666666666665,29.03333333333333,0.0,-0.0016778523489933124
2010-02-11,0.25,0.0,29.74,29.74,-10000.0,29.66,29.82,29.89999999999999,30.05999999999999,29.579999999999995,29.42,29.34,0.0,-0.00033613445378156514
