Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,Trix_1
2010-01-06,0.6399999999999971,0.0,23.58,23.57999999999999,1.0,968100.0,23.63,23.85,24.12,24.34,23.36,23.14,22.87,0.0,0.3469387755102014,0.013757523645743624
2010-01-07,0.38000000000000256,0.0,23.74,23.73999999999999,1.0,360700.0,23.64,23.88000000000001,24.020000000000003,24.260000000000005,23.5,23.26,23.12,0.0,0.8947368421052567,0.006785411365564043
2010-01-08,0.8299999999999983,0.0,23.87,23.86999999999999,1.0,967300.0,23.78,24.24,24.61,25.07,23.410000000000004,22.95000000000001,22.580000000000005,0.0,0.6626506024096408,0.005475989890480311
2010-01-11,0.31999999999999673,0.0,24.0,23.99999999999999,1.0,253500.0,23.94666666666667,24.133333333333336,24.26666666666667,24.45333333333333,23.81333333333334,23.62666666666667,23.493333333333343,0.0,0.7500000000000028,0.0054461667364892755
2010-01-12,0.4400000000000013,0.0,23.95,23.949999999999992,0.0,-517700.0,23.83666666666667,24.11333333333334,24.276666666666674,24.55333333333333,23.67333333333334,23.39666666666667,23.23333333333333,0.0,0.8863636363636351,-0.002083333333333363
2010-01-13,0.5881000000000007,0.0,24.3,24.299999999999986,1.0,596300.0,24.169366666666665,24.52873333333333,24.757466666666666,25.11683333333333,23.94063333333333,23.581266666666664,23.35253333333333,0.0,0.8331916340758397,0.014613778705636803
2010-01-14,0.375,0.0,24.2,24.199999999999985,0.0,-201500.0,24.10833333333333,24.29166666666667,24.383333333333336,24.566666666666666,24.01666666666667,23.833333333333336,23.74166666666667,0.0,1.0,-0.004115226337448618
2010-01-15,0.3999999999999986,0.0,24.36,24.35999999999999,1.0,202100.0,24.320000000000004,24.54000000000001,24.72000000000001,24.940000000000005,24.14000000000001,23.920000000000005,23.74000000000001,0.0,0.6499999999999974,0.00661157024793389
2010-01-19,0.6698999999999984,0.0,24.55,24.54999999999999,1.0,679300.0,24.56003333333333,24.889966666666666,25.22993333333333,25.559866666666665,24.22006666666667,23.89013333333333,23.55016666666667,0.0,0.4775339602925829,0.007799671592775094
2010-01-20,0.5500000000000007,0.0,24.51,24.50999999999999,0.0,-589800.0,24.52,24.79,25.07,25.34,24.24,23.97,23.69,0.0,0.4727272727272749,-0.001629327902240291
2010-01-21,0.8179000000000052,0.0,23.98,23.979999999999986,0.0,-203300.0,24.199366666666666,24.49863333333333,25.01726666666667,25.31653333333334,23.68073333333333,23.38146666666666,22.862833333333324,0.0,0.09768920405917786,-0.021623827009383968
2010-01-22,1.2699999999999996,0.0,23.34,23.339999999999986,0.0,-892700.0,23.383333333333336,23.996666666666673,24.65333333333333,25.26666666666668,22.726666666666674,22.11333333333333,21.456666666666674,0.0,0.4488188976377957,-0.0266889074228524
2010-01-25,0.5800000000000018,0.0,23.35,23.34999999999999,0.0,119500.0,23.350000000000005,23.64000000000001,23.93000000000001,24.22000000000001,23.06000000000001,22.770000000000003,22.48000000000001,0.0,0.5000000000000031,0.0004284490145673335
2010-01-26,0.35999999999999943,0.0,23.53,23.52999999999998,1.0,164800.0,23.51,23.70000000000001,23.87,24.06,23.340000000000003,23.15,22.980000000000004,0.0,0.5833333333333366,0.007708779443254805
2010-01-27,0.23000000000000045,0.0,23.55,23.549999999999986,0.0,175300.0,23.506666666666664,23.64333333333333,23.736666666666668,23.87333333333333,23.41333333333333,23.276666666666664,23.18333333333333,0.0,0.7826086956521712,0.0008499787505312187
2010-01-28,0.7300000000000004,0.0,23.84,23.839999999999986,1.0,131400.0,23.78333333333333,24.17666666666667,24.513333333333332,24.90666666666667,23.44666666666667,23.05333333333333,22.71666666666667,0.0,0.6164383561643823,0.01231422505307852
2010-01-29,0.7699999999999996,0.0,23.49,23.489999999999984,0.0,-337800.0,23.57333333333333,23.91666666666667,24.34333333333333,24.68666666666667,23.14666666666667,22.80333333333333,22.37666666666667,0.0,0.3376623376623353,-0.014681208053691337
2010-02-01,0.5500000000000007,0.0,23.37,23.36999999999999,0.0,-407500.0,23.39333333333333,23.65666666666667,23.94333333333334,24.20666666666667,23.10666666666667,22.84333333333333,22.55666666666667,0.0,0.4363636363636394,-0.005108556832694655
