Date,ATR_1,Copp_1,EMA_1,MA_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,SO%k,Trix_1
2011-02-04,0.5899999999999999,0.0,29.96,29.959999999999837,1467600.0,29.79666666666667,30.17333333333334,30.38666666666667,30.76333333333334,29.58333333333334,29.20666666666667,28.99333333333334,0.0,0.9152542372881344,0.9152542372881344,0.0067204301075268575
2011-02-07,0.4800000000000004,0.0,30.28,30.279999999999838,2342900.0,30.180000000000003,30.47000000000001,30.660000000000004,30.95000000000001,29.99000000000001,29.70000000000001,29.510000000000005,0.0,0.8125000000000004,0.8125000000000004,0.01068090787716957
2011-02-08,0.629999999999999,0.0,30.85,30.849999999999838,2705800.0,30.68666666666667,31.07333333333333,31.296666666666663,31.68333333333333,30.46333333333333,30.07666666666667,29.85333333333333,0.0,0.9016393442622972,0.9016393442622972,0.018824306472919432
2011-02-09,1.4200000000000017,0.0,29.68,29.679999999999836,-13607400.0,29.87,30.31,30.940000000000005,31.38000000000001,29.24,28.8,28.17,0.0,0.23364485981308405,0.23364485981308405,-0.03792544570502437
2011-02-10,0.6799999999999997,0.0,29.64,29.639999999999837,-4252000.0,29.55333333333333,29.93666666666666,30.23333333333333,30.61666666666666,29.25666666666666,28.87333333333333,28.57666666666666,0.0,0.6911764705882341,0.6911764705882341,-0.0013477088948786774
2011-02-11,0.9949999999999974,0.0,30.15,30.14999999999984,2281800.0,29.855,30.5,30.85,31.495,29.50500000000001,28.86000000000001,28.510000000000005,0.0,0.9447236180904524,0.9447236180904524,0.017206477732793456
2011-02-14,0.6649999999999991,0.0,29.7,29.69999999999984,-1670000.0,29.77833333333333,30.071666666666665,30.44333333333333,30.736666666666665,29.406666666666666,29.11333333333333,28.74166666666667,0.0,0.32330827067669193,0.32330827067669193,-0.014925373134328337
2011-02-15,2.2,0.0,31.74,31.73999999999984,6240900.0,31.2,32.44,33.13999999999999,34.379999999999995,30.5,29.26,28.56,0.0,0.917525773195876,0.917525773195876,0.06868686868686866
2011-02-16,0.4800000000000004,0.0,31.98,31.979999999999844,2319200.0,32.02,32.18000000000001,32.38000000000001,32.540000000000006,31.82000000000001,31.660000000000004,31.460000000000008,0.0,0.33333333333333665,0.33333333333333665,0.0075614366729679265
2011-02-17,0.4300000000000033,0.0,32.05,32.04999999999984,2286600.0,31.91333333333333,32.19666666666666,32.34333333333333,32.626666666666665,31.76666666666666,31.48333333333333,31.336666666666652,0.0,0.9767441860465,0.9767441860465,0.0021888680425264768
2011-02-18,0.5399999999999991,0.0,32.07,32.06999999999984,1998600.0,32.083333333333336,32.34666666666667,32.62333333333333,32.88666666666667,31.80666666666667,31.543333333333337,31.26666666666668,0.0,0.4629629629629637,0.4629629629629637,0.0006240249609985375
2011-02-22,1.4400000000000013,0.0,30.77,30.769999999999836,-3156800.0,30.98,31.33,31.89,32.24,30.42,30.07,29.51,0.0,0.15384615384615444,0.15384615384615444,-0.040536326785157485
2011-02-23,1.0950000000000024,0.0,30.65,30.649999999999828,-4058400.0,30.71833333333333,31.23166666666667,31.81333333333333,32.32666666666667,30.13666666666667,29.62333333333333,29.041666666666664,0.0,0.4063926940639263,0.4063926940639263,-0.003899902502437472
2011-02-24,0.8599999999999994,0.0,30.61,30.60999999999984,-2275700.0,30.576666666666664,31.02333333333333,31.436666666666664,31.88333333333333,30.16333333333333,29.716666666666665,29.30333333333333,0.0,0.5581395348837218,0.5581395348837218,-0.0013050570962479331
2011-02-25,0.8200000000000003,0.0,31.36,31.35999999999984,2266600.0,31.176666666666666,31.61333333333333,31.86666666666667,32.30333333333333,30.92333333333333,30.486666666666665,30.23333333333333,0.0,0.8985507246376809,0.8985507246376809,0.024501796798431886
2011-02-28,0.6699999999999982,0.0,31.28,31.279999999999838,-2544000.0,31.33666666666667,31.64333333333333,32.00666666666667,32.31333333333333,30.97333333333334,30.66666666666667,30.30333333333333,0.0,0.37313432835821003,0.37313432835821003,-0.002551020408163211
2011-03-01,0.9000000000000021,0.0,30.73,30.729999999999837,-2788700.0,30.930000000000003,31.28000000000001,31.830000000000005,32.18000000000001,30.38000000000001,30.03,29.480000000000004,0.0,0.16666666666666866,0.16666666666666866,-0.017583120204603602
2011-03-02,0.7000000000000028,0.0,30.71,30.709999999999837,-2673800.0,30.84333333333333,31.12666666666667,31.54333333333334,31.82666666666667,30.426666666666666,30.14333333333333,29.72666666666667,0.0,0.21428571428571647,0.21428571428571647,-0.0006508298080051928
2011-03-03,0.5899999999999999,0.0,31.19,31.189999999999838,2842100.0,31.15333333333333,31.336666666666666,31.48333333333333,31.66666666666667,31.006666666666664,30.82333333333333,30.676666666666666,0.0,0.6666666666666703,0.6666666666666703,0.01563008791924456
2011-03-04,0.7599999999999979,0.0,31.7,31.69999999999983,3461000.0,31.55333333333333,32.00666666666666,32.313333333333325,32.76666666666666,31.246666666666666,30.79333333333333,30.486666666666665,0.0,0.7894736842105256,0.7894736842105256,0.016351394677781274
2011-03-07,0.6499999999999986,0.0,31.42,31.41999999999984,-2528600.0,31.49666666666667,31.78333333333334,32.14666666666667,32.43333333333334,31.13333333333334,30.84666666666667,30.48333333333334,0.0,0.3230769230769251,0.3230769230769251,-0.008832807570977841
2011-03-08,0.4400000000000013,0.0,31.52,31.519999999999836,2645700.0,31.47333333333333,31.716666666666665,31.91333333333333,32.156666666666666,31.276666666666664,31.03333333333333,30.836666666666666,0.0,0.6590909090909053,0.6590909090909053,0.0031826861871418802
2011-03-09,0.3200000000000003,0.0,31.58,31.579999999999828,3345700.0,31.52666666666667,31.71333333333333,31.84666666666667,32.03333333333333,31.39333333333333,31.20666666666667,31.07333333333333,0.0,0.7499999999999944,0.7499999999999944,0.0019035532994923453
2011-03-10,0.8999999999999986,0.0,31.09,31.089999999999836,-2970700.0,30.986666666666668,31.293333333333337,31.49666666666667,31.80333333333333,30.78333333333333,30.47666666666667,30.27333333333333,0.0,0.8039215686274488,0.8039215686274488,-0.015516149461684562
2011-03-11,0.91,0.0,31.29,31.28999999999983,2083700.0,31.25333333333333,31.72666666666666,32.16333333333333,32.636666666666656,30.81666666666666,30.34333333333333,29.90666666666666,0.0,0.5604395604395581,0.5604395604395581,0.006432936635574117
2011-03-14,0.620000000000001,0.0,30.79,30.78999999999983,-2467200.0,30.95,31.18,31.57,31.8,30.56,30.33,29.94,0.0,0.11290322580645187,0.11290322580645187,-0.015979546180888458
2011-03-15,1.2300000000000004,0.0,30.4,30.399999999999828,-4246300.0,30.156666666666666,30.75333333333333,31.10666666666668,31.703333333333337,29.80333333333333,29.206666666666663,28.85333333333333,0.0,0.8842105263157867,0.8842105263157867,-0.012666450146151366
2011-03-16,0.9599999999999972,0.0,29.54,29.53999999999983,-3701900.0,29.78,30.12,30.7,31.04,29.20000000000001,28.86000000000001,28.280000000000005,0.0,0.10869565217391093,0.10869565217391093,-0.028289473684210517
2011-03-17,0.8800000000000026,0.0,30.06,30.059999999999825,2110100.0,30.08,30.4,30.74,31.06,29.74,29.42,29.08,0.0,0.4545454545454501,0.4545454545454501,0.01760324983073797
2011-03-18,0.5800000000000018,0.0,30.45,30.44999999999981,2253300.0,30.43333333333333,30.656666666666666,30.86333333333333,31.086666666666666,30.22666666666667,30.00333333333333,29.79666666666667,0.0,0.5581395348837177,0.5581395348837177,0.012974051896207605
2011-03-21,0.879999999999999,0.0,31.04,31.039999999999825,1998200.0,31.08333333333333,31.286666666666665,31.53333333333333,31.736666666666665,30.836666666666666,30.63333333333333,30.38666666666667,0.0,0.3555555555555565,0.3555555555555565,0.01937602627257799
2011-03-22,0.8499999999999979,0.0,30.46,30.459999999999827,-1101000.0,30.67,30.989999999999995,31.52,31.84,30.14,29.82,29.29,0.0,0.12941176470588198,0.12941176470588198,-0.018685567010309226
2011-03-23,0.6699999999999982,0.0,30.54,30.53999999999983,2427300.0,30.39,30.799999999999994,31.05999999999999,31.46999999999999,30.129999999999995,29.72,29.46,0.0,0.8358208955223885,0.8358208955223885,0.002626395272488453
2011-03-24,0.7899999999999991,0.0,31.23,31.229999999999823,2255700.0,31.10666666666667,31.453333333333337,31.676666666666666,32.02333333333333,30.88333333333334,30.53666666666667,30.313333333333343,0.0,0.8245614035087747,0.8245614035087747,0.022593320235756432
2011-03-25,0.7199999999999989,0.0,31.82,31.819999999999823,2027000.0,31.72333333333333,32.04666666666666,32.27333333333333,32.596666666666664,31.49666666666666,31.17333333333333,30.946666666666665,0.0,0.7636363636363658,0.7636363636363658,0.018892090938200445
2011-03-28,1.7899999999999991,0.0,30.31,30.309999999999825,-5866400.0,30.83333333333333,31.466666666666665,32.62333333333333,33.25666666666666,29.676666666666666,29.04333333333333,27.88666666666667,0.0,0.06145251396648016,0.06145251396648016,-0.04745443117536146
2011-03-29,1.09,0.0,31.29,31.289999999999825,3220800.0,31.0,31.69,32.09,32.78,30.6,29.91,29.51,0.0,0.8990825688073399,0.8990825688073399,0.032332563510392626
2011-03-30,0.8999999999999986,0.0,32.13,32.129999999999825,2664900.0,31.90166666666667,32.41833333333334,32.70666666666666,33.223333333333336,31.613333333333344,31.096666666666675,30.808333333333348,0.0,0.9254658385093224,0.9254658385093224,0.026845637583892728
